# solver: Random
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: ec6d4ee5-5b8c-4b86-a027-3f210418129b
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-nopolice-analisi2.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	23	23	100	0	0	0	0	0	52.864003596600504	58.922352469013	74.1501512071651	74.17111972691751	52.17160323750811,43.574864868907596,54.48493672672918,44.366798794484296,57.05543811160459,48.39162624258448,40.564650550660275,51.86985971110418,51.10604239002643,50.52822786882122,55.68601687325607,48.68765009799287,47.09255766261897,44.8353130191257,56.589697748340576,55.174127881396,49.718766099843364,49.65290100917092,52.485027066717905,52.792013202753694,54.55481889581526,56.21553624727487,54.7803751701476,49.36875767342626,51.0797786801933,52.63649282597506,50.34711573519907,50.77274721159428,44.23612571363063,52.07780340494648,51.29878628147398,42.921770787061284,46.79666078764478,51.031859776765145,52.199504647800254,39.89444215519339,51.07650295965672,57.444250626405186,42.2986180171921,55.26379292497281,47.321994655975665,54.36473495697539,51.14441643920188,46.93705715809051,50.02502897503482,54.59254502633455,52.077553591389034,46.2598356568126,44.2614432969734,45.59888966865581,51.74359227797129,53.16242941899915,58.922352469013,52.666883823347675,39.1966850752386,53.040813587036084,47.19469678821139,52.567784143757905,47.070978874913614,43.92619435976589,50.59246916292578,51.52362447894384,46.32492240682505,47.23499041298655,47.294604520346866,54.4307750021958,53.72692507309653,50.02331964778401,43.79361943436356,49.570684263891536,50.33635579810861,45.95465666797006,52.019528298726705,50.08263616596355,43.866717979138485,48.740587348303634,53.26228194389937,49.795224277704904,55.21225008100433,36.27379298587859,55.76863736583069,52.604427707086124,41.383890502531486,54.25631583758322,46.419309429888756,50.049847196607644,43.083953170808016,54.75212500283644,51.071121511837816,52.40918496393936,52.69896727650956,49.425604122311896,54.00529555225583,57.94169601167218,50.44667687844088,52.78042083771967,55.30049412614978,51.723529689243975,44.893788520291395,52.864003596600504	0.9964998428144262	58.922352469013	1	true	26
25	25	23	100	0	0	0	0	0	40.9005506515132	55.285894033048095	74.71690141062584	74.68500986771016	53.106952543810294,47.06941650478461,36.39162940187076,43.6812057671255,37.71244279019815,40.14646016275893,44.39507663865684,28.022505208748548,51.255880467280555,42.9132034135379,45.093674376306666,41.8501639421076,49.07051239976007,53.84192511125972,47.6872315108762,35.68631396251628,47.10466293948055,54.21595530995624,51.12300883690527,45.4476446872379,55.280803550595024,41.93592321345224,55.285894033048095,45.49542046853903,52.44117271662144,41.6583992636625,40.720688551912986,47.75104048360718,45.96562649849231,49.812631890780494,36.33671850374222,45.12659152137637,36.70421238516279,40.777469068517405,53.89082498900111,43.506472462944885,35.874251537915725,41.2780686009405,49.085105375158165,35.53490683050917,33.258915975097196,48.80346690210074,46.97116849348389,50.410376948611365,36.87142072675506,52.044983568930576,54.115671548868754,33.81654831839634,50.81513926541848,53.464215553004884,48.13896911751651,45.233327662200246,42.2701301113313,48.786089923324155,47.191362774001135,52.04347628378849,42.56799309637293,38.6257851939201,47.90210307178144,48.530540246577594,39.60347214157805,43.10612784985463,46.29364797504958,36.09980217904175,45.00144843441752,51.43311792136909,50.70627513628631,47.44728578780153,48.02280006520005,47.34620073355235,42.33996692973456,45.35046713478437,45.71099138826917,48.85846794388332,45.34384335928216,41.106679433177405,40.942247554343645,33.42035618420802,45.91790264428357,44.92879250593351,54.94910827949248,37.27396280129285,48.44412021477068,53.930975271895406,50.81556283264408,40.2075122680248,44.0144040827867,30.09120279609064,44.96622562314315,42.697960809827066,48.59118459508101,50.59547212100952,36.2742180196729,47.64630222856968,51.02433810229172,48.54191893073884,48.12519272598128,46.90736496888905,47.45269892575408,40.9005506515132	0.9963270849021427	55.285894033048095	1	true	5
26	25	22	100	0	0	0	0	0	50.71308155993576	58.61175535062537	76.00896302166493	75.88305829800542	46.020327150928594,51.01341386535829,54.744585288341874,48.83354701837477,50.051585857801335,54.2087881001755,41.81230827412699,49.83531898445976,43.54338793921207,46.642313825679345,57.45614356719089,50.31394307838873,58.25682319179547,54.10346361907046,45.18130729849121,55.38170108579171,45.505402069229916,43.58217471728205,45.38063871835341,55.985164237877434,46.99747363301603,52.14232970056065,50.194512897193924,31.658049945512495,47.45482845104969,46.071740577116884,47.91388499837758,51.381658611462306,47.7134251943376,48.43012960694824,53.967174862086466,50.00067120456974,45.93896841652742,47.3894164319655,51.3927900875267,43.083209679389185,42.28851564638158,51.181219750017235,52.68762576570225,41.90362837139646,56.90579412337519,44.13691407998481,52.64926109022355,41.93669396213309,56.09801472110746,50.603879067043835,49.95805409296568,54.27625682763174,49.153978097649556,45.3843723425959,53.750350098154854,50.43654929032882,49.929237754711096,52.14887677866206,48.519762936185415,35.16558080400725,54.85394620029431,38.23501632944791,51.569448101323246,43.133446301053695,45.48085545685804,54.014039896005016,46.334887760588416,51.155242183675355,47.51898790830526,37.01071319927861,55.823238195119444,44.693324310395994,46.079110894114116,52.92638611144923,58.61175535062537,48.725309615405756,46.241014320418905,52.052136364978885,50.42809938042933,56.908625994191205,42.14641845617344,56.71039349678766,49.625971120161296,44.98838911930809,43.14500875395193,45.555847360643504,55.26706984111675,47.48491460800626,39.46358380817405,48.03146489921265,50.85773463556876,48.67840788142887,30.919292305893585,50.685166620672966,56.10790024785146,41.33999172031481,50.52262090809735,57.69253717591214,48.769052171323395,50.92467623004771,42.07522451716096,46.4506785481955,45.1831813077899,50.71308155993576	0.9963376126801237	58.61175535062537	1	true	8
27	26	23	100	0	0	0	0	0	53.244064780898334	57.36866878170752	76.14502745674082	75.19295450857815	45.593733404349706,55.32931478762534,47.81893929389976,43.96447331433551,46.66076748404396,48.94463536342339,46.91586562608708,48.12254064249084,47.066111153424,42.66544104357985,54.72605427463206,48.94973127270965,51.28620765924322,49.39478724349114,54.83588674796505,41.48318297081191,50.24681987336629,49.01830778372341,44.99908761994401,45.563144106494676,47.80501194753647,54.42798397586758,44.146904976877984,46.14313762337683,50.17269138159479,46.396797585927274,57.36866878170752,48.865514055428775,40.87788444366598,47.1675907987566,37.58346043349735,42.00038661965068,50.31156362849565,46.25240744971206,50.497998262472066,46.858052373902794,47.18685889126054,48.533485242910785,49.43578267804858,52.9900859356668,49.929212428771194,49.8595728826165,46.33240464278296,45.14504351021483,44.41837847139078,36.30318248726021,43.0034002676065,50.07911649812047,49.09395397929715,33.42970226936174,45.08392642304388,43.412589414622886,36.88803648220218,47.8682483837427,39.25430787327773,41.713680879907784,49.27193762234129,40.49637039220852,46.933274978013515,48.91624406969139,50.95741247391341,37.65662941317156,46.672440799919215,53.96232406615881,37.454202104390575,47.27926858961533,47.30198041060118,39.21108161627791,48.742889158636935,38.196967718319954,46.7406564089736,48.19397566491995,45.067666582437965,47.05287415473733,47.018765129753845,38.86366529914778,42.82884757813183,51.240117899491736,38.719858348753434,47.2334389130116,50.90740215523361,52.242471191716184,51.814167206868724,49.55414962284333,41.356354235515866,40.195672776678165,40.40924550941778,51.31290015375423,45.42411516335355,41.858690038782555,46.78354558580418,51.19449613811881,52.42530753012697,43.12885708979674,52.31110206772075,45.57754301044054,50.81401482986146,43.59170266021606,35.77429790181766,53.244064780898334	0.9960085830634371	57.36866878170752	2	true	6
28	26	21	100	0	0	0	0	0	42.87846028546509	52.34308784547532	75.31427139026829	75.11110928970325	41.073030798281934,42.16985430271333,37.76711943287066,37.93107865583764,40.43544283244256,35.519530937756464,38.531061189398244,43.90171766350889,47.183256147374486,43.75221973860244,37.362836609150484,33.277658710366836,33.893836901012136,42.749898041464974,34.52337009125307,36.18596733366819,25.46931841382377,38.898885411919366,24.661369549216126,34.63994820005892,52.34308784547532,39.9770669885063,31.84250215480976,46.50942471092108,43.48087681773216,37.33616090002917,34.49298108219228,36.72942722424419,40.06563700349301,40.41617277182755,31.475167736978293,33.91431737024928,43.55917817523304,47.00032313195668,37.8975889660109,33.68932902101055,31.267011381769798,38.7689402254791,45.448700804527846,40.70061151980196,40.23390135776871,43.77810875140394,39.77183260822309,40.05969089525429,26.133856329506305,14.044087432059243,34.00172964258448,27.224751336446914,35.19996429042136,49.1903008650659,40.47518372361141,41.170860191062836,23.89129117203351,37.959231422740935,28.888664934378074,41.78838678768493,38.57125440033198,38.83463805504495,44.706077874157806,44.2226139315221,36.20685855236495,35.4426255768399,34.7315187698449,42.66454690065834,41.265708262491216,25.844550983095594,49.16389703884147,36.75090926079579,33.03833418081487,33.166301769252144,39.71188910481618,38.98710115813126,39.21175879624893,48.85086829189769,31.04029120035996,36.67380970566792,50.986478089821745,37.855048849058065,36.129930188407286,43.61922816846983,29.575374551333184,39.057202939658396,27.210460678469563,30.94763319955753,41.60240041918516,35.735539220937895,32.39388240093717,37.585821284279184,40.866575286130434,34.36537199416266,47.917108406668085,35.560926409688506,39.293370955460134,34.45966552766042,34.4961616962108,35.887397768238344,46.13460101919377,40.91882226203292,47.333124267184644,42.87846028546509	0.9957457176069776	52.34308784547532	1	true	4
29	28	23	100	0	0	0	0	0	44.058837428877325	53.9006337384327	74.42638495060899	74.21638161003018	42.670711058337076,42.62969944763091,44.31284932363012,42.68294197049657,36.169476974467784,41.29877459407628,45.08412809486067,36.722647295401714,28.61753648430597,47.70053610331779,44.49780061871924,49.11616810828255,40.43897744052646,41.29038363566157,38.434613598604045,39.189663783006495,48.682319870032465,35.4373436317643,41.959544669858275,32.44528268303906,44.22465189146381,37.958832328881115,41.13315716449886,41.479650095819295,44.99945718932639,49.31291418315991,45.528841382824936,52.85809402114289,31.959979536021685,43.3717382920788,39.79199321967458,49.9804097262561,43.42628337028622,43.53688018179792,38.856790746638595,46.96884120462738,36.55727871926205,39.80661496799627,40.63875183825597,42.55147278678173,32.98027844228753,43.297202470703894,37.389068604872065,53.11567703299889,40.3812175471314,36.74374381450865,45.93217109456222,51.49739384317761,41.37655854429039,38.56378771120208,53.24678568078508,24.416436612697236,40.29605425326716,47.398506180558634,34.78228929232196,39.39045404504439,37.44420575586648,38.63153774330195,44.64749247153122,44.455734422532714,33.92411669500069,39.246429675760325,35.043879538484795,47.71748331137977,32.87587234244885,38.53866275470225,40.275733841725,43.55464835870909,37.63416775698002,49.13019349919635,33.7464279956623,45.95111706312805,29.647369473536166,48.41540084427793,43.46159898228656,41.53886978127156,29.588293792335936,44.59687191723516,44.12259217181375,44.81205560989132,44.528845419264485,47.18732396105747,53.9006337384327,42.94683067851016,28.805545475232602,21.22225874129751,43.25328817620224,26.422223219477594,38.47090528419932,37.98065745527671,46.68485410166193,33.22897849209377,33.97042729303885,39.59479306657555,51.722727810551206,39.140484898195126,44.81260311277019,42.16191504851492,46.99037434701593,44.058837428877325	0.9954372317792676	53.9006337384327	0	true	3
30	29	25	100	0	0	0	0	0	34.510449501706034	57.63130529307253	74.37473871104861	74.21317021580137	40.93289500336155,50.11345799346648,46.00080806782561,32.7881903327783,44.547443383250155,48.21863428110454,43.52153410655429,46.691480893131995,28.808811730736963,46.961803680906606,46.4251866577316,38.964627041508464,53.03864308536601,32.85765721292185,40.946148714498264,40.72622773687416,39.080042707182216,41.71083098314692,45.143505858245085,29.563582898090093,48.43620503891879,32.812693192357585,43.43633611837232,34.87939215298665,28.823265883968062,39.705726093825284,36.205301197542866,24.70355962780309,43.85471851223696,20.980490774857373,49.24936042377282,44.28623937916607,37.5443071381444,50.983728230119034,38.10336364928919,42.39375075364376,23.266352865990655,44.290094063755646,32.166289472924404,40.868917351308845,35.03760153695304,38.14002335235729,50.1408303840698,34.222468573535465,45.77369607186119,39.34175183350508,39.88675940429867,35.43922901048458,45.41956365082229,45.683775326411215,44.282762723405476,44.662938545905504,44.94577291061321,34.83252969771337,23.40347637236485,39.342205186846414,29.933179858666453,36.87372072155512,47.70243243747067,43.85789587889503,37.89428558995199,26.613425513820182,37.81679274686064,47.696297324050256,44.17038133614657,49.48439547151759,34.76897178977403,40.147171521976915,47.37697266995667,45.22503341764428,31.80606363656561,46.968432959976575,44.11535755650569,45.436629827038345,38.62057409288212,43.636678319824966,43.93106216214379,51.33335134848737,40.144599584072665,46.41011823525572,53.36054865972433,43.395593047471486,45.9741657265598,45.8404665458848,42.50559063382079,38.469840777405075,57.63130529307253,35.25454110631088,41.402143732159814,47.412484337127005,37.564804333015715,39.10732829195592,40.15068938798004,42.11963272020837,45.43778566269783,48.04901157467823,41.40275843782055,42.22592917329378,36.52044857564445,34.510449501706034	0.9951585746558367	57.63130529307253	2	true	4
31	29	24	100	0	0	0	0	0	37.23652940337769	51.840894589367615	74.12136498759222	74.10050160371709	38.08909646555418,36.009360499108666,29.031236585592634,24.92540452551357,27.62651167441468,41.43575542342103,42.902969279896794,43.898393238173966,40.9459476922546,34.275848049128996,42.82768930743933,35.45422991684893,42.49456554334737,43.267096165250514,33.247289911131574,40.967859464616495,42.502695865584286,41.83972219439875,37.82237485308738,42.11494462468458,43.23223320572571,39.85250100103992,40.94457742600965,37.170360821682394,35.30192373492768,41.92425349738774,42.570757484007885,46.20065917618119,46.32111416459064,36.41755659178804,39.32317543819943,32.00202820874581,41.26459918164264,40.05088449728966,44.68666874098315,38.78354972567206,45.628667894163286,35.84336241348869,41.95951109130718,38.09877171278916,37.29239480104042,35.77450769957356,22.07071922059183,32.11955275539117,26.06705588345851,30.05572390283189,49.17237789076015,41.72750948599132,36.00573670364987,43.70033897904302,39.331931224795866,34.66469034597223,38.15413719054179,39.85286824912947,37.888612200283205,40.85498624151996,37.43203814524617,30.954370327380268,45.96428544405419,37.170860752967286,29.154811801384852,36.07302744167322,40.23697367039486,40.19243495399212,51.840894589367615,36.71208371192378,34.75871411980346,47.83601866156207,28.721828058171628,38.33979601679006,42.257534797280215,50.25293207485945,40.92405100748814,31.464982884056184,37.19089311077676,50.21520120794052,24.70425581780115,37.289180755880594,43.614726099130216,41.77190299116595,41.08987367360126,50.003079358439095,48.80821957618073,45.479056877885704,34.08324068262584,37.73157168022604,44.81980018112074,40.06439004573018,51.6433934291234,31.524222326066138,45.72719594359119,45.376322670911144,36.772048070657334,38.44780852734088,36.25644440152536,49.830903997643915,38.30333120860247,39.52771860319702,42.277091805905485,37.23652940337769	0.9945054137636076	51.840894589367615	1	true	11
32	29	22	100	0	0	0	0	0	33.60613770140332	42.70485373411097	65.22161729779252	65.40218470958268	24.069306417766015,21.63554764588771,29.03695873148949,33.50642038433733,31.37930975917783,30.564488560177153,29.556592144263462,39.004860530653964,29.69190997332896,29.466990978482123,24.694869666861667,21.113357937118415,35.085799197673445,35.522544667227294,26.92202037624286,40.20696826517669,38.02796285670427,36.77896825106603,36.25329715698433,12.869845694913778,26.746985671095718,37.22355878196769,29.75593093280176,20.229028029786203,28.064609671651237,21.027480407075114,34.74124635361041,19.057547344923442,27.62327700827496,28.37217729797164,15.435423161557129,20.72377032135686,36.86887355342725,33.226517768272295,32.593029692255186,41.56885093266628,14.409558237621967,22.56605763737369,32.12441538227616,29.675592308141404,37.37356021228521,21.893187628823323,39.11077364545842,35.67965415055623,31.570829625477835,27.847124918284184,30.201959105046956,42.70485373411097,23.806767382779576,27.67425791812907,35.57458891387266,24.213284992863592,29.72606948868373,37.507520888733254,17.010721268064636,26.071674473304178,29.634376578919625,27.7474471812208,32.204180500884405,28.132507312035585,18.613422336766106,29.429823973606066,27.714159955098584,23.031583848308163,34.74472475373716,37.04119868245695,31.177886390538724,21.359700371566372,19.56013800559976,41.051382847568284,37.08797685200925,21.966674770063822,35.926485804285235,27.085253077048314,15.037867125635726,19.58202608879971,25.177504583259555,22.89672060033671,42.478336713345726,30.281557247604027,38.55168932446711,27.348980424056247,26.315551030271546,20.72392645152734,28.5118943210841,30.09390908833136,35.70570005394059,21.26028717053512,41.2477217540503,35.95209931696572,34.06326683348363,31.701470315748466,29.99819668528909,19.901446226121713,40.96446533970814,28.442525233778063,22.8314393482234,28.271502495620503,15.125432811621863,33.60613770140332	0.994098010688619	42.70485373411097	1	true	4
33	30	24	100	0	0	0	0	0	28.12126494694957	45.0990223954399	67.35771525674201	66.99772659449437	36.61260474680891,45.0990223954399,39.98324305551052,27.846000388594764,25.72542143076094,35.32436082345263,12.99279643120513,17.885011674000623,37.09451619923998,32.25801635189137,41.42737728163672,33.947953270456544,38.09672484309278,32.7362563601514,25.246173006181007,28.67003232524954,41.460168745152174,40.9251252269051,34.114748896995884,36.86985292128224,37.36072737274942,38.1843288410338,36.39324693828069,10.010585400344816,30.745877394732354,33.24064924905181,33.91128948748366,31.844528722286725,37.080984349326684,32.399510996682395,21.585785405672922,39.5223510027026,41.465524144240646,25.322852790654103,43.57992852747925,38.63001041028997,33.06311731200999,38.85029295212009,24.432545408356113,37.90283320167191,30.992578543691483,23.850707817617753,25.254848372034747,37.18378945439956,28.675383896538065,32.30485128049732,37.20039150903705,34.43409242076899,39.642271573146225,29.068470922747622,39.259460404238474,38.39902292100322,33.78615323138216,40.72604715476062,36.440469170017934,44.10820374901852,31.816458057651857,35.429901726461324,26.017487771599065,21.38708736837886,30.6717953636454,33.89307690614205,31.770656412773462,33.92394494334725,43.440417764291475,38.74681546579569,21.088419824032705,37.45047445998839,41.6784271740281,29.053264656434035,28.467814291414598,38.02525245108035,35.10185184309093,40.060857797096915,35.79285201550728,37.79833416039946,38.93004013555223,32.09145560638757,36.64401870067532,29.794718659432025,42.13287697187796,16.991037352283413,28.972125050448856,40.85866649013327,36.56513791724044,37.884757244824996,25.662207985792737,38.15493799249481,32.01069423277919,30.93719604727717,22.34385716895477,35.443881448187014,31.73690022531,33.93806524867391,27.657648951791717,30.56380171973744,22.898331058895906,27.271022834860137,40.701785423141054,28.12126494694957	0.9938863219306774	45.0990223954399	1	true	3
