# solver: Closest
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: ece1aa4c-d976-40a2-bbb1-1ed53fbcc123
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-nopolice.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
23	18	18	1	0	0	0	0	0	18.06626667055074	18.06626667055074	52.98394282724989	52.98394282724989	18.06626667055074	0.998213238680811	18.06626667055074	9	true	7
24	19	16	1	0	0	0	0	0	26.605632363496838	26.605632363496838	50.72121803046154	50.72121803046154	26.605632363496838	0.9981001016223013	26.605632363496838	8	true	5
25	19	15	1	0	0	0	0	0	5.996849056124319	5.996849056124319	47.31214266831665	47.31214266831665	5.996849056124319	0.9981138096665473	5.996849056124319	10	true	2
26	20	15	1	0	0	0	0	0	12.416270764768647	12.416270764768647	48.07918129576321	48.07918129576321	12.416270764768647	0.9980791191759087	12.416270764768647	10	true	13
27	20	13	1	0	0	0	0	0	2.4084446667829624	2.4084446667829624	42.85864882465167	42.85864882465167	2.4084446667829624	0.9980572959694693	2.4084446667829624	10	true	2
28	21	14	1	0	0	0	0	0	15.839667664856492	15.839667664856492	43.81821129465771	43.81821129465771	15.839667664856492	0.99788095568829	15.839667664856492	9	true	7
29	23	14	1	0	0	0	0	0	-11.620434450442108	-11.620434450442108	42.678114998754516	42.678114998754516	-11.620434450442108	0.9976109620488226	-11.620434450442108	11	true	2
30	24	16	1	0	0	0	0	0	6.908135761496	6.908135761496	46.54282999117595	46.54282999117595	6.908135761496	0.9975117158084821	6.908135761496	9	true	2
31	24	15	1	0	0	0	0	0	8.563814097793808	8.563814097793808	44.01453629603094	44.01453629603094	8.563814097793808	0.9973490835715487	8.563814097793808	9	true	5
32	24	14	1	0	0	0	0	0	-33.71314812629188	-33.71314812629188	41.029426451560454	41.029426451560454	-33.71314812629188	0.9969814886570503	-33.71314812629188	13	true	2
33	25	17	1	0	0	0	0	0	-35.92341452319928	-35.92341452319928	46.674262194447294	46.674262194447294	-35.92341452319928	0.9967592721211278	-35.92341452319928	14	true	3
34	25	15	1	0	0	0	0	0	-69.50649578069564	-69.50649578069564	41.95498804954028	41.95498804954028	-69.50649578069564	0.9968040151775465	-69.50649578069564	16	true	3
35	27	17	1	0	0	0	0	0	-96.28392767762045	-96.28392767762045	46.04224131571313	46.04224131571313	-96.28392767762045	0.9966253353901492	-96.28392767762045	18	true	1
36	27	17	1	0	0	0	0	0	-96.52895056227688	-96.52895056227688	46.92217308676087	46.92217308676087	-96.52895056227688	0.9966253353901492	-96.52895056227688	18	true	3
37	29	20	1	0	0	0	0	0	-33.27532888360311	-33.27532888360311	52.68742502619954	52.68742502619954	-33.27532888360311	0.9963126823169884	-33.27532888360311	14	true	2
38	30	21	1	0	0	0	0	0	-11.329526477783116	-11.329526477783116	53.71450576925027	53.71450576925027	-11.329526477783116	0.9962045532639766	-11.329526477783116	14	true	2
39	31	22	1	0	0	0	0	0	-20.336172675906628	-20.336172675906628	55.15416302565034	55.15416302565034	-20.336172675906628	0.9961399244047054	-20.336172675906628	14	true	3
40	31	23	1	0	0	0	0	0	-30.227233572009645	-30.227233572009645	56.095634395134404	56.095634395134404	-30.227233572009645	0.9961057091262677	-30.227233572009645	15	true	3
41	31	22	1	0	0	0	0	0	-29.849457934562764	-29.849457934562764	55.993974278977156	55.993974278977156	-29.849457934562764	0.9959107259049138	-29.849457934562764	15	true	2
42	31	22	1	0	0	0	0	0	-21.742291665212903	-21.742291665212903	55.109161068462925	55.109161068462925	-21.742291665212903	0.9956055300078228	-21.742291665212903	14	true	2
43	33	23	1	0	0	0	0	0	-21.700690602787432	-21.700690602787432	55.208782270377014	55.208782270377014	-21.700690602787432	0.9953602474027825	-21.700690602787432	14	true	3
44	34	25	1	0	0	0	0	0	7.260046113407668	7.260046113407668	56.71780400927884	56.71780400927884	7.260046113407668	0.9950166689818031	7.260046113407668	12	true	2
45	34	20	1	0	0	0	0	0	-37.70317730804865	-37.70317730804865	44.80960332834809	44.80960332834809	-37.70317730804865	0.99483221353843	-37.70317730804865	14	true	2
46	35	23	1	0	0	0	0	0	-29.946204781631373	-29.946204781631373	51.375225264827044	51.375225264827044	-29.946204781631373	0.9943699051768886	-29.946204781631373	14	true	2
47	36	22	1	0	0	0	0	0	-15.355635786569152	-15.355635786569152	47.521744065492484	47.521744065492484	-15.355635786569152	0.994456942119154	-15.355635786569152	12	true	2
48	36	20	1	0	0	0	0	0	-14.797985741860785	-14.797985741860785	43.10656963980282	43.10656963980282	-14.797985741860785	0.9945108969813059	-14.797985741860785	13	true	2
49	36	19	1	0	0	0	0	0	-22.707305812433102	-22.707305812433102	40.04286061365758	40.04286061365758	-22.707305812433102	0.9945280046205246	-22.707305812433102	13	true	2
