# solver: DSA
# max_time: 500
# main_solver: BinaryMaxSum
# random.seed: 1
# run: ee57746b-0e24-4799-997a-0626915680b8
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	1	8	1	8	0	0	1.6262107779041897	1.6262107779041897	1.6262107779041897	1.6262107779041897	1.6262107779041897	0.9991239280309399	1.6262107779041897	0	true	6
25	6	6	1	12	1	8	0	0	1.8190009801907552	1.8190009801907552	1.8190009801907552	1.8190009801907552	1.8190009801907552	0.9990443117099597	1.8190009801907552	0	true	1
26	6	6	11	220	11	88	0	0	2.0024093902737263	2.0024093902737263	2.0024093902737263	2.0024093902737263	1.9966424120454749,1.9966424120454749,1.9966424120454749,1.9966424120454749,1.9966424120454749,1.9966424120454749,1.9966424120454749,1.9966424120454749,1.9966424120454749,2.0024093902737263,2.0024093902737263	0.9990443117099597	2.0024093902737263	0	true	1
27	6	6	1	24	1	8	0	0	2.162198993731903	2.162198993731903	2.162198993731903	2.162198993731903	2.162198993731903	0.9990443117099597	2.162198993731903	0	true	0
28	6	6	1	24	1	8	0	0	2.3109906625186944	2.3109906625186944	2.3109906625186944	2.3109906625186944	2.3109906625186944	0.9990443117099597	2.3109906625186944	0	true	1
29	6	6	1	24	1	8	0	0	2.44463976554633	2.44463976554633	2.44463976554633	2.44463976554633	2.44463976554633	0.9990443117099597	2.44463976554633	0	true	1
30	6	6	1	24	1	8	0	0	2.563400370192142	2.563400370192142	2.563400370192142	2.563400370192142	2.563400370192142	0.99887542860485	2.563400370192142	0	true	0
31	6	6	1	24	1	8	0	0	2.669247366020105	2.669247366020105	2.669247366020105	2.669247366020105	2.669247366020105	0.99887542860485	2.669247366020105	0	true	1
32	7	7	1	24	1	8	0	0	2.7603841261820254	2.7603841261820254	2.7603841261820254	2.7603841261820254	2.7603841261820254	0.9987036576717526	2.7603841261820254	0	true	1
33	7	7	1	28	1	8	0	0	2.8365299690201327	2.8365299690201327	2.8365299690201327	2.8365299690201327	2.8365299690201327	0.9986204224270916	2.8365299690201327	0	true	0
34	8	8	1	28	1	8	0	0	2.897862563721002	2.897862563721002	2.897862563721002	2.897862563721002	2.897862563721002	0.9984128643598162	2.897862563721002	0	true	0
35	9	9	1	32	1	8	0	0	2.9440144254260314	2.9440144254260314	2.9440144254260314	2.9440144254260314	2.9440144254260314	0.998144332911735	2.9440144254260314	0	true	0
36	10	10	2	72	2	16	0	0	2.9794430014817492	2.9794430014817492	2.9794430014817492	2.9794430014817492	2.9794430014817492,2.9794430014817492	0.9981368757356651	2.9794430014817492	0	true	0
