# solver: Random
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: ef9615e0-fa1b-4e51-b80d-1a95401b3cdd
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-nopolice-refugeOnFire.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	9	9	100	0	0	0	0	0	27.930982901999815	41.39606930004132	47.60261268544998	47.03037964218657	33.13716109227241,20.507697616715284,31.030510139418034,35.88816058928837,27.97728092886531,13.402057895857238,34.744785247480586,34.219492525684224,28.55260340258983,26.93713212041696,27.14288529139339,14.109064277931132,31.60516635241683,15.437588547748065,33.135755291480294,18.19764340912987,19.620333064735078,28.571262716007496,28.177360365312893,24.610569964872415,26.010337394356878,26.573135001327717,29.915430223907485,32.83508610832004,16.536854398810796,32.15891367964432,24.394116166647986,29.80487068870947,21.44118463521847,28.450225350730694,18.014475455814555,24.661358984884878,23.589016546897398,41.39606930004132,29.460725167843822,31.837782469398068,31.795750798925962,32.51231727262194,31.17849153976765,30.72086379050258,34.81631537537491,30.955610308641972,22.03162277470042,24.727910715853934,30.899019898866502,33.30809464469744,29.233228129167447,33.048407146583465,22.151708249994613,29.610625438886018,29.622268786011247,22.34643025269837,25.659943007079136,26.739178677162688,24.497197184745424,28.414774438944207,29.079475524436578,29.70966169642798,34.88669057252471,37.924197990049464,33.78971667997043,23.010835857445617,28.47057001735862,26.469511227427006,17.981354462783422,24.721781038097113,32.46752885224435,23.077024900379293,21.032779301026096,27.44801547486115,30.89808138918758,25.80390569960678,35.577817588917796,14.412807247804636,23.094622594123994,22.24561141049459,29.497360938954518,35.146990703131266,10.455482600396673,33.89551849129099,25.578961642645393,28.371467029416955,34.82387957067264,35.70390445496333,24.771144025525473,33.61752277050938,21.553792786525996,28.427017063889434,15.62024279286131,25.10497433827755,31.009962875107597,38.754531800382864,30.63255891986536,26.223293837836803,24.176027144626886,35.66273779551508,23.279487111564084,28.420194261561097,33.64524108222622,27.930982901999815	0.9975653416775723	41.39606930004132	0	true	10
25	9	9	100	0	0	0	0	0	25.889339675068324	38.218578989905694	46.20134749145441	44.521858428184544	24.62634422556285,27.63442044088228,25.848001628254153,10.889748558639111,30.108139581845514,37.47339933390712,31.909222231993297,28.378450543308663,16.465449346631445,29.89130953441597,28.127718242611017,18.03410612722176,17.641753162569024,24.047501100421876,26.962312081111325,11.77598494742897,30.91174578392345,14.418519576537168,28.464506182806414,26.86453617207344,23.576771726405113,21.1719757873291,29.637144718460814,32.25435138265182,23.18891626668168,20.936189153083426,19.53298038135049,30.876408951737947,33.50411762633159,29.14230231046117,18.404530755026034,23.763910755575804,33.087301099087014,23.569640702877408,26.13279645134972,23.32977199045429,22.412699701629627,28.304181567691632,21.10167331270776,33.18378520756943,34.35888373049672,30.532255004265785,33.104341075773064,30.230993837831463,28.375684818750315,31.32350839883705,27.216928579947368,28.657989796727104,26.42303973601064,24.09667922543823,20.738846198238598,24.668213230466343,26.62090320835051,27.626738637369865,27.575880831606714,20.055728413273762,21.417320319105805,15.408019823775717,24.65799715667695,23.637840258144088,17.424299650923068,34.92433992532439,20.259085554508964,17.38742875416868,4.86006914840749,35.20886971518328,21.938020307303724,15.922877628001169,13.477798184227344,34.003091095894604,33.864133939229376,24.39792572510929,20.150406502078134,20.388690822142415,23.487682347046828,28.75271841267339,24.845762642521457,19.596067442410952,26.480383040341778,28.54725287535686,32.60019998164389,25.52271532158146,27.631235017465375,29.235023393358016,21.854898534255696,11.378670820886333,27.81202963341595,30.67068818087006,27.439108427259516,31.4840779951215,32.299547378805045,25.501914444747733,33.85617636348609,37.2111460853927,38.218578989905694,25.468300594923818,30.85313694871293,37.13995248156674,20.70226846281983,25.889339675068324	0.9975653416775723	38.218578989905694	0	true	3
26	9	9	100	0	0	0	0	0	26.85525370107408	38.98730025676531	45.584233876953505	46.74044970592241	17.38442394971206,13.570118906035784,7.198001569678123,28.484005056177484,28.7859780979379,20.88138751220018,33.14152050020701,25.424319393366833,22.36685359835305,18.40732407449333,29.496870150488846,24.527565159664466,23.200464194369573,26.189802381379746,31.50380169089479,28.014992364038115,36.76598850612266,30.1781810147545,27.24025123168622,31.845668339729137,26.977313901727324,34.19228496873385,19.7946813997339,23.175207236009857,28.596107403496948,34.536381926069275,33.04367829536331,26.63081756584729,19.53352182798605,25.570680563713974,37.45200765322417,34.15553698751005,24.562511721882483,18.054452039308554,35.43509315127446,35.495925994901924,32.532271400029344,31.413748397515906,37.814044980617,28.536691954452564,26.294522188497407,33.45145980671269,15.766543500785684,33.25241485479228,24.79348811936102,25.6026200102329,30.401921265242933,14.230822097864403,26.21748708616207,22.962159576440357,34.31547598319256,21.32506233044103,27.387779963012665,21.135847741409094,28.74751029260873,34.588797874452226,21.53625019157935,22.74982442363403,28.280691198727414,15.251938518781568,30.199705210848784,32.50432172731931,21.405297527453726,28.3327290425202,25.60172583321052,31.738511028552793,13.024843901799432,22.72374005547694,17.94520435346284,11.551939285667792,28.40299432015158,38.88160065386171,23.742095413605693,38.98730025676531,32.29210544116134,33.76387042149574,33.79658830672796,29.30910143618511,26.37359674847312,17.29803406933017,28.620237852015663,32.37853035469388,29.98114712534095,27.707776588348633,21.011602227617537,25.10645073554352,27.136003656834294,26.219106090416723,15.279566413350897,19.146993096889624,27.187323757511724,19.32272606008788,24.908995640807984,16.77082487953552,31.738166421539262,30.3569375450856,30.429670866596915,30.080402501846407,25.922486031301126,26.85525370107408	0.9975653416775723	38.98730025676531	1	true	2
27	10	10	100	0	0	0	0	0	32.42989354424035	40.778884220423734	45.38752831310104	45.055513350547116	28.163810898045917,28.095248550105914,36.417293786713955,36.470664011192824,33.75549163258813,31.753122632896037,26.778983525464753,20.537239048695145,19.767110889313447,23.270349464002425,24.49711340656875,30.68458805474682,29.914964056101255,27.614296757003295,29.7492217671108,29.197554309839322,29.953295696152676,26.73590790122059,31.603804268417925,23.544012960292342,33.25792323526021,35.990521826620004,14.005357264105085,20.930180695729828,25.775029769059238,25.887575166552388,24.150666861359184,27.192241064905843,31.42838828809721,26.942540148131663,28.17306763194166,34.436197685921314,27.963494994795443,29.215571314849733,13.950688942593015,27.16867312837245,27.907441488952035,33.14133184484968,32.533976917488815,23.395536428731255,24.53853738490243,33.75052217775533,27.310115708877714,34.7159102580969,26.248210045717848,22.157598745230718,38.703295755727815,23.07745761919375,35.07646562460767,29.739723192306496,34.003830613453125,15.807565434693647,37.41485120106885,16.268739921027333,29.144991044337004,27.482515431275168,14.836452791032611,40.778884220423734,16.272167160625184,31.08149026763662,32.96001175583423,22.91114231206735,31.088729405865067,19.116750598081655,34.86058856566729,17.665125948806175,34.65274515584845,34.428053672309616,29.15083147503596,17.027301540679762,30.553209343260917,27.551287457758367,31.901752267719772,27.70585992847585,26.638499748208094,31.65983231958284,34.54518125104256,13.394129216165537,24.417312846201906,17.464616958858453,21.55657798299298,33.67933840908155,15.20103236611944,33.04732300286551,28.887394624535844,24.42744302977881,19.432702540834693,25.730520322616528,28.59228654975823,19.556193538835878,15.084222420780499,28.70222748606438,26.58770642684526,32.77840514079449,26.622674933388286,26.507639180107773,36.54153683667471,32.849001377183555,32.40493043391059,32.42989354424035	0.997262083184068	40.778884220423734	1	true	8
28	10	10	100	0	0	0	0	0	37.71888638203358	39.51644059438799	49.986639056508324	50.026684611510056	28.657081823588978,23.264979724676067,22.137786945424914,30.959158092907497,5.238579601832047,26.021839891696864,24.20927282031298,27.934591465098666,30.532561403706527,28.22227623458532,19.526084021471014,28.071475411534795,18.391616681139393,20.348275766973256,31.119588646337302,29.36087490702199,26.597195333982327,5.975470428048277,23.470440840675863,17.45411669569385,28.882405732830076,18.20350880003679,27.218129558024298,32.6209814755544,35.54074337674435,13.298209771616111,33.28668002276555,26.50002026988293,29.379938440881503,17.114137118323086,36.2156322912303,24.45848117453184,35.599406482498445,24.799613749411836,33.34125102903482,24.007207613947045,36.6349477665484,26.257418475486396,22.990069491276536,19.261520836114183,28.90387982603251,34.37711653104391,29.379861023052417,13.923202797470656,8.990868934804988,25.045589225257125,21.25838377193572,34.360594592315785,20.598197050915008,25.94497834563637,26.362430306851103,36.09860235487524,29.903901150721065,24.691113114803244,34.19081321565678,25.34742747229397,21.843434449642345,39.51644059438799,23.23677917255297,34.479056249421454,33.38608334571949,24.872685331164888,8.124047480000923,34.66190242731531,29.53072315130841,21.479594296309834,11.355346348865089,30.43141705649596,30.098263479357477,34.92958573863028,33.911119160233355,20.501119140520977,29.9918787909376,28.75547899754912,8.199098767047854,20.18506975392407,31.118729303750705,22.520665111223668,36.183645513196886,25.251686732806082,31.09335671539809,35.60930711189213,7.721486715601925,10.765950261405104,16.235894189664055,14.373365717607758,30.999235925217548,33.897723043574416,18.115416819849415,30.38058229575174,26.90094978648336,26.33175574389261,21.072182643592022,20.805444829508314,31.64434869644859,32.177679569177414,19.602429416904815,22.820843188433347,26.186189371762406,37.71888638203358	0.9970015206790418	39.51644059438799	2	true	2
29	12	12	100	0	0	0	0	0	32.66084532351706	39.440351879336895	49.79805393443405	48.76892233495669	23.193276606641277,28.671435167453946,27.733601130068593,25.779561062000287,34.34719339069319,26.23185224676664,25.579483182636107,22.404754956012823,28.454248544193163,25.979384706746995,24.916667443068196,34.52334451381214,25.479408870179718,27.427500203261268,30.405815313381055,16.88469650929336,24.11862684502916,33.20815182490365,22.457346540165204,19.765686461149567,30.5771999145525,36.15132565100266,35.759596627819306,21.233467838295173,18.326752150538645,30.070725000353,13.951164710422267,29.816023875273675,19.878976695402855,28.451724039202684,23.324010667987842,29.55858860420958,30.782727030175252,14.765707388452457,19.5274072678678,27.416527932176606,19.209806474171472,39.1765689907844,21.97455208798455,13.002750195662705,28.440908258864546,27.759757696888844,26.531515178591736,28.716231586034063,30.911576049565316,30.972580298126985,25.259402867134185,31.718238962457193,24.90968020710729,28.6175951382858,31.104371413236937,26.769613776229455,31.57196988293785,19.830172939188195,29.446508676537082,28.22813160180493,25.426255104774306,28.960638907100464,1.0442669778093432,35.28509987646161,27.204768470360914,33.16152308865091,26.6753770847186,25.184585123973818,20.21125061987446,29.100126049849855,31.637809914745233,27.499276970051742,27.31635955683654,32.6665445929988,28.21533303722608,28.375540794076795,20.538873974726165,26.214280065272607,19.92267648450679,37.469033949669836,18.93781876366027,30.796202463980904,21.013513916435066,25.743350491345794,21.044361260298253,25.30983284124385,21.896324467293496,29.632188476280714,33.237353739724114,15.816587361828002,26.942762335329736,34.18316133708266,33.998317887573435,34.70854835098085,33.56848233988927,16.34315403459415,39.440351879336895,23.180086897492394,21.250481921320265,30.641794155811468,36.60748633961519,22.55780416839686,14.763217052354243,32.66084532351706	0.9966696763439367	39.440351879336895	1	true	5
30	13	13	100	0	0	0	0	0	22.075075669942475	38.825090648662474	51.88998306098488	50.216235823336234	26.942267619166056,29.472605486051403,27.938785304824084,36.56094548843737,19.215707402435537,23.923119801321135,33.808232042349665,15.90034900234051,30.95886156473893,28.093548601533875,33.14515566815263,22.283737067445422,24.160119353905912,25.489377344600452,25.753151355650328,30.82147525932725,38.6791096877389,31.932974209263953,28.53739897298464,32.51176637421362,22.34946128648836,31.4792698163359,18.70233212997878,22.981072302412365,27.786054685915555,31.023194638164064,14.874839253159436,24.46973830657875,24.73884719352803,29.898542264455422,22.418651853281823,35.52257085166177,27.458056727936167,25.474022860987706,34.15940256011156,31.828505597640955,25.74491949047236,24.92923620140155,26.740173853070228,33.7781546148599,31.301424752801587,28.067635920318924,38.35756241484271,30.123846423300364,6.078343094752702,30.855247469364386,27.613244188376463,36.65768140095424,31.11647708014256,14.895663844680527,30.51569092712952,38.825090648662474,32.57765771761905,30.141328851926993,20.341637550603014,17.019213753838024,21.61450263321916,15.902244459371474,29.857238440978076,23.794626578145614,27.047165955006104,11.18644973485267,20.137686686998933,24.177040720703303,23.212256393004676,10.707526505427557,26.940230770152393,29.396575203185193,22.20687499075109,30.92624275424948,24.536958024701956,36.71348714296202,25.00217831126634,32.44909023489838,11.387073428421504,27.340896763284757,27.838200093910658,28.532605607513762,30.64586142746399,28.36977066793172,17.878362682925133,33.924608554696285,23.45758879418165,27.040882430878245,20.85992190176544,27.141293325198152,32.74034163729722,24.826169356098376,31.582959099128267,25.384386819984176,29.904446542912154,34.27577534386099,21.44817682195122,29.823170167347584,32.15745287858951,31.976236826299605,26.144798784247836,9.815571731686438,28.65147312026905,22.075075669942475	0.9965839188191344	38.825090648662474	1	true	2
31	13	13	100	0	0	0	0	0	20.190293804982126	36.12792551449007	47.20798275244142	48.27561704738792	22.8144537157646,10.900046122264278,16.98989560180201,23.559975090105844,27.173808290858176,28.084727192935766,25.387855178843896,19.12129723401319,16.037367423011442,13.460830267836943,27.80144203989586,34.890759799373306,19.827922889304332,26.734970082976073,27.0535473722672,3.89261538956708,17.032597122274275,30.74075223981867,26.847501693945294,25.34141702505107,20.370635413746594,31.866447115648167,35.65429547695375,24.6939477023043,21.018245804558035,20.460695708299006,25.19141698108956,30.17314894746719,11.711045741236356,32.99093094002687,32.172548618084626,18.14255779668459,26.228010223453378,27.88991346420575,24.242643936785758,20.575782945370243,29.248297499891,17.554061732164516,30.737549144326927,26.92302540036257,21.98333795893455,1.3385639929009123,24.233422610966937,27.972174232050982,21.340754406917803,25.0513863122447,26.835210789109073,28.471740243326927,28.299325678061944,27.689728123865546,28.063653610019355,28.968010108209505,23.12073458282491,24.422985484948203,30.727476140644015,14.455857834795655,27.702412113634097,14.24883695835635,16.078396750617394,30.716507312384998,29.066180239215633,25.52610923166595,19.440053241303378,32.73428318974641,36.12792551449007,28.237750208194065,1.9891708937668362,24.879206536947674,22.335650194086462,16.305387446478797,31.04141926809337,30.067098894836747,31.595115707287988,22.270623894579213,29.02935948270419,24.897850048128824,16.273393611108798,24.73914457514054,25.114666202998077,31.85841069837804,24.81325405584823,28.75077757385533,18.452588081384263,27.489912055944522,22.312393996406346,28.555490543515614,15.239134907897858,30.540424437032755,25.146136543241642,22.34775738777397,18.978443381313653,14.900995420886854,21.891256902870516,20.566921901988618,20.26078061713932,22.165007926474498,18.193753719726736,30.092937497044097,27.377459815173996,20.190293804982126	0.9960483181143581	36.12792551449007	1	true	2
32	13	13	100	0	0	0	0	0	31.51420778761439	32.18799937573253	44.65124056042499	44.42001551577403	17.091121627791427,7.968383981310117,13.568399804301905,19.950530689357805,14.57285820240724,13.326962799551506,13.394833556036774,20.14397862568459,24.009497824748376,21.6519759291755,32.18799937573253,30.721227818693812,16.854077830510732,22.818852112528464,22.090044567627015,15.233552478825182,17.584916080263778,24.3615119928519,17.532387685977408,19.290850623233293,16.27637074925278,20.561897800497846,15.970867328439262,18.550008291033873,24.119705385334832,10.439459427234016,30.1118832761441,20.34319186427967,26.69572205786452,30.217100355024897,17.175038517994377,14.29186155509414,20.052325299750688,30.666678241366206,25.092999899158492,11.09423483886789,21.48949970823194,27.180458731053935,22.38624841089676,26.31604256796291,30.707779759853928,25.15621106731064,12.000039693485256,17.859920784642327,19.037436306873126,13.97019969154528,23.633246377503394,29.377449607539845,28.14977350160047,16.30946038766497,16.703884091017535,15.034276991678666,9.140704737091538,17.437856083938232,17.08225431500303,14.776359021285565,25.35316765820895,24.306777091988575,30.08827795273124,23.154770473199388,23.39802249721199,26.128902577244645,13.955699525946992,22.33682576646515,-1.9131839252709142,13.926031762738035,23.65853932705919,29.27666258057877,22.80032695300437,17.265447989112886,25.775300611959945,9.771410605366865,22.16824363402132,7.372059556459314,1.6471539755786218,21.33850861950414,4.618449087187734,19.073586635363714,28.585612999442628,30.805802857565688,23.077833079796722,17.615862253495497,20.416787667084147,10.280246883875956,24.662868075943745,18.054145151754955,16.567157307182374,18.898830308105172,25.50558249936204,25.201287522392978,15.694444029179472,26.163346189000077,26.31637095251208,17.777532207089433,22.62414261727938,13.23408665551619,19.14324129434926,22.14574301810213,25.604340162010917,31.51420778761439	0.9955863021910939	32.18799937573253	1	true	2
33	15	15	100	0	0	0	0	0	7.215837447766006	39.49599119934129	45.769317564941474	44.836823576399524	23.15721899613511,22.78343670374153,23.65999090464825,8.87730832035042,17.760581460264657,8.304829855257447,-0.13486759839172358,15.522776737341548,20.95090092774694,23.888283139521217,20.382612498766964,13.581204898440166,2.3136759611333133,20.881459009382382,28.78515721328733,12.555169519896435,17.891057390745466,2.765060276867894,21.718681797451556,24.517112022241758,10.845658720771166,11.89204430803176,10.67051916653304,4.581195787969559,21.08234373612127,12.3969317776913,16.219783068284645,15.974104356521714,17.123083985174894,13.831544643886474,17.913839350160018,13.428523108963546,10.736709397128866,16.52575559329146,24.5139298486126,12.437336306442132,13.352792442471939,14.380977932301338,29.256064458319088,22.896978363050614,24.455348139397557,22.366434625095103,25.922602057976412,31.515738304105014,13.748182983598266,13.825933210526891,7.28993933675949,9.682960121858581,2.8720457430139046,19.558874149680566,16.59156075738136,19.44577853580164,10.038345817257728,27.436853805727438,9.68215002343075,20.129063477466808,39.49599119934129,13.03236171940338,19.924861322574255,29.890299978339193,28.401187050109204,6.042503630734084,16.73798728107709,6.202170168767365,16.56708557431722,29.3220185699681,18.48054670965441,27.51785563452351,24.483466440898454,21.014331769490468,21.811717002499908,13.393539991547073,18.80334995961231,22.018094116856222,19.55121534433447,21.09981178889708,24.6359272259278,23.042251757225195,31.34748380296572,27.5793895110121,24.874760520303223,26.805951315601888,21.53097592622641,15.669699200626013,25.95546454865701,16.656072854711887,17.006186601455386,-0.2763452441285654,4.490473337619699,19.34993308797293,19.435685407564254,6.874587672231305,14.253690353290324,21.127503064556926,20.23652216841018,23.400807390080406,22.585386255009904,14.119864212761815,24.069074060109898,7.215837447766006	0.9953466855776751	39.49599119934129	0	true	2
