# solver: DSA
# max_time: 500
# main_solver: BinaryMaxSum
# random.seed: 1
# run: f091dd0a-5c85-49fb-aeb9-32e15a3de0c9
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-nopolice-refugeOnFire.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
23	9	9	16	864	5472	43776	0	0	45.916945939730184	45.916945939730184	45.916945939730184	45.916945939730184	6.811471304901048,25.706623526986956,25.706623526986956,33.50176297042478,37.76493703981038,40.41301052141114,40.41301052141114,40.41301052141114,43.33294618331992,43.33294618331992,43.33294618331992,44.33717746749926,44.33717746749926,44.33717746749926,45.916945939730184,45.916945939730184	0.9975653416775723	45.916945939730184	0	true	29
24	9	9	12	648	4104	32832	0	0	44.33214085908309	44.33214085908309	44.33214085908309	44.33214085908309	17.728763582544644,29.38623694980417,36.1980420633232,36.1980420633232,36.97653697714776,36.804112636713896,39.553584243743245,43.82331251968848,43.82331251968848,43.82331251968848,44.33214085908309,44.33214085908309	0.9975653416775723	44.33214085908309	0	true	7
25	9	9	16	864	5472	43776	0	0	43.003163540001815	43.003163540001815	43.003163540001815	43.003163540001815	15.855076601521912,19.10862533262152,23.370131397584743,23.86276256948863,28.80675400036811,28.80675400036811,28.80675400036811,28.80675400036811,34.76221982351757,39.93713588334917,39.93713588334917,41.049151622664944,41.049151622664944,41.049151622664944,43.003163540001815,43.003163540001815	0.9975653416775723	43.003163540001815	0	true	3
26	9	9	13	702	4446	35568	0	0	45.321885254799604	45.321885254799604	45.321885254799604	45.321885254799604	22.826527131710787,22.826527131710787,32.41693699191117,35.68892919940657,36.29881545724891,38.685623497846905,38.685623497846905,41.90104223923094,41.90104223923094,38.90171847685856,40.13231327622354,45.321885254799604,45.321885254799604	0.9975653416775723	45.321885254799604	0	true	13
27	9	9	14	756	4788	38304	0	0	43.72300749575245	43.72300749575245	43.72300749575245	43.72300749575245	10.400260229453025,10.400260229453025,16.014055463899197,21.228335586391076,26.127805920853874,32.80318020154803,39.40139408464929,40.04360490943105,40.04360490943105,41.94903465432304,41.94903465432304,41.94903465432304,43.72300749575245,43.72300749575245	0.9975653416775723	43.72300749575245	0	true	12
28	10	10	8	464	2736	21888	0	0	48.34859132035471	48.34859132035471	48.34859132035471	48.34859132035471	36.58441838065771,41.89081720163345,41.52717138920346,44.821991587861184,46.45325488220523,46.45325488220523,48.34859132035471,48.34859132035471	0.9970015206790418	48.34859132035471	0	true	2
29	12	12	11	726	3762	30096	0	0	49.618216889227575	49.618216889227575	49.618216889227575	49.618216889227575	42.038429521794555,42.038429521794555,44.48698232335644,47.691324764650794,47.691324764650794,47.691324764650794,47.691324764650794,47.691324764650794,47.691324764650794,49.618216889227575,49.618216889227575	0.9966696763439367	49.618216889227575	0	true	2
30	13	13	16	1120	5472	43776	0	0	50.34630796914069	50.34630796914069	50.34630796914069	50.34630796914069	47.797937829141055,47.797937829141055,47.797937829141055,47.797937829141055,48.363468014557576,48.363468014557576,48.363468014557576,48.363468014557576,48.363468014557576,48.363468014557576,48.363468014557576,48.363468014557576,48.363468014557576,48.363468014557576,50.34630796914069,50.34630796914069	0.9965839188191344	50.34630796914069	0	true	14
31	13	13	5	350	1710	13680	0	0	49.34327342218869	49.34327342218869	49.34327342218869	49.34327342218869	45.27825655828994,47.97118103836321,48.592883635904165,49.34327342218869,49.34327342218869	0.9964077978666628	49.34327342218869	0	true	2
32	13	13	9	630	3078	24624	0	0	43.14645086046446	43.14645086046446	43.14645086046446	43.14645086046446	33.36048651489307,34.923757990594346,38.40201177771101,40.66452265580913,40.66452265580913,42.52291786939409,42.52291786939409,43.14645086046446,43.14645086046446	0.9955863021910939	43.14645086046446	0	true	2
33	14	14	15	1110	5130	41040	0	0	43.446945546721565	43.446945546721565	43.446945546721565	43.446945546721565	4.54750902103099,16.017226795629526,16.999100710937547,22.26714345994347,22.26714345994347,22.26714345994347,22.26714345994347,27.184862361583825,31.350480263409054,35.01652144214204,40.88335823165263,41.45439674318345,41.45439674318345,43.446945546721565,43.446945546721565	0.99540882871159	43.446945546721565	0	true	9
34	15	15	9	702	3078	24624	0	0	45.93979778655668	45.93979778655668	45.93979778655668	45.93979778655668	24.980495593152266,36.924421346608476,40.52832153158256,45.00830464312052,45.304636343455904,45.304636343455904,45.304636343455904,45.93979778655668,45.93979778655668	0.9953466855776751	45.93979778655668	0	true	2
35	17	16	19	1558	6498	51984	0	0	43.62291540597188	43.62291540597188	43.62291540597188	43.62291540597188	19.14372142678072,25.32029787580383,27.319738234157164,27.319738234157164,27.319738234157164,36.61529565525208,39.285190487456916,41.12188704743837,41.12188704743837,41.12188704743837,40.37142334585996,42.65510007701106,37.729525137040255,37.729525137040255,38.07984506770704,39.79899111389703,40.418545238223075,43.62291540597188,43.62291540597188	0.9952351203749059	43.62291540597188	0	true	3
36	17	16	25	2050	8550	68400	0	0	38.907308657044126	38.907308657044126	38.907308657044126	38.907308657044126	12.924631627954719,16.52542653348506,22.66605364462232,26.956453413491896,32.24394996793188,34.371851526362605,37.27189137895295,36.52418807305913,36.91455903896286,36.91455903896286,34.37251540137544,33.70585783464523,33.70585783464523,36.909636338808426,36.909636338808426,36.909636338808426,36.909636338808426,36.909636338808426,36.909636338808426,36.909636338808426,36.909636338808426,36.909636338808426,36.909636338808426,38.907308657044126,38.907308657044126	0.994762247680599	38.907308657044126	0	true	12
37	19	18	11	990	3762	30096	0	0	39.2908123549761	39.2908123549761	39.2908123549761	39.2908123549761	13.579241996003239,20.72023942552799,22.320765651548957,27.6220031669841,29.22323913781866,32.892025889305685,37.339080835936166,37.339080835936166,37.339080835936166,39.2908123549761,39.2908123549761	0.9944788749899475	39.2908123549761	0	true	3
38	20	19	13	1222	4446	35568	0	0	39.10022764709859	39.10022764709859	39.10022764709859	39.10022764709859	24.313220790858182,24.313220790858182,23.597691779515454,23.597691779515454,26.597383380305057,33.226322671908946,33.226322671908946,37.450975133654765,37.450975133654765,37.450975133654765,37.450975133654765,39.10022764709859,39.10022764709859	0.9943707459369359	39.10022764709859	0	true	5
39	21	20	15	1470	5130	41040	0	0	39.348844221721706	39.348844221721706	39.348844221721706	39.348844221721706	26.743968415241678,29.618594052227202,32.82243890960224,32.82243890960224,32.82243890960224,32.82243890960224,32.82243890960224,32.82243890960224,32.82243890960224,32.82243890960224,32.82243890960224,35.737614049962964,37.720118457894685,39.348844221721706,39.348844221721706	0.9943061170776643	39.348844221721706	0	true	2
40	21	19	32	3008	10944	87552	0	0	33.064691083318266	33.064691083318266	33.064691083318266	33.064691083318266	11.1486618593402,15.37970870637239,18.363356068568745,21.72121528366131,24.929527622305034,25.766029571159788,25.766029571159788,25.766029571159788,29.036831769714446,29.036831769714446,29.036831769714446,29.036831769714446,29.028555375610217,29.028555375610217,29.036831769714446,26.984276686070356,31.07656984189571,31.07656984189571,31.07656984189571,31.07656984189571,31.07656984189571,31.07656984189571,31.07656984189571,33.05596818196355,33.05596818196355,33.05596818196355,33.05596818196355,33.05596818196355,33.05596818196355,33.05596818196355,33.064691083318266,33.064691083318266	0.9943863913847684	33.064691083318266	0	true	4
41	21	19	27	2538	9234	73872	0	0	33.27283084191219	33.27283084191219	33.27283084191219	33.27283084191219	12.615700588372672,15.54265448318555,22.59978683617763,24.249361994754345,27.725801701930514,29.716435757930228,27.2847497627109,14.980104158772182,21.6456887067748,21.6456887067748,24.923755803140015,24.923755803140015,22.61340313941752,22.622024895293087,27.88232938137699,29.41636804252203,28.0202580038908,31.33546375924201,31.33546375924201,31.33546375924201,31.33546375924201,31.33546375924201,31.33546375924201,31.33546375924201,31.33546375924201,33.27283084191219,33.27283084191219	0.9941571928849767	33.27283084191219	0	true	4
42	21	21	39	3978	13338	106704	0	0	40.39492438030005	40.39492438030005	40.39492438030005	40.39492438030005	8.002793783313328,19.085441682031977,26.62794843639891,30.28353100570286,32.50009221870734,33.477011613921306,33.477011613921306,33.477011613921306,36.40377508857067,37.9944171767038,37.9944171767038,40.03635668058079,40.03635668058079,40.03635668058079,40.03635668058079,40.03635668058079,40.03635668058079,40.03635668058079,40.03635668058079,40.03635668058079,40.03635668058079,40.03635668058079,40.03635668058079,40.03635668058079,40.03635668058079,40.03635668058079,40.03635668058079,40.03635668058079,40.03635668058079,40.03635668058079,40.03635668058079,40.03635668058079,40.03635668058079,40.03635668058079,40.03635668058079,40.03635668058079,40.03635668058079,40.39492438030005,40.39492438030005	0.993445251899021	40.39492438030005	0	true	5
43	25	23	21	2310	7182	57456	0	0	34.422780097860255	34.422780097860255	34.422780097860255	34.422780097860255	-26.609626694114482,-26.609626694114482,-8.53335478823709,2.5741855763224564,7.740652896320114,11.99641287609149,16.604239063447636,16.604239063447636,17.434331943090672,17.434331943090672,22.429868229671726,26.37700271255015,26.37700271255015,29.613023785713267,29.613023785713267,32.23909918331863,32.23909918331863,34.097638706764904,34.097638706764904,34.422780097860255,34.422780097860255	0.9928366147345026	34.422780097860255	0	true	4
44	25	22	18	1908	6156	49248	0	0	31.058588949067197	31.058588949067197	31.058588949067197	31.058588949067197	-12.388459040738603,2.5673629185206845,6.779139530999855,10.394774451987177,13.290493845063848,17.25913807638331,22.799600153027047,26.021051641017102,26.021051641017102,26.021051641017102,26.021051641017102,26.021051641017102,26.021051641017102,29.177420267870083,29.177420267870083,29.177420267870083,31.058588949067197,31.058588949067197	0.9927141196511211	31.058588949067197	0	true	4
45	25	21	30	3060	10260	82080	0	0	30.19873561097987	30.19873561097987	30.19873561097987	30.19873561097987	-51.041022607249225,-30.98070279067666,-11.320611088438254,-0.5977950594515686,4.0752561508634475,8.302954910727438,15.975265794067468,20.26945123472425,20.26945123472425,26.538740929145206,28.228936122314607,21.08740532359839,21.08740532359839,25.087190408698923,25.147698703145007,25.147698703145007,25.209576065896155,25.209576065896155,25.209576065896155,25.209576065896155,25.237989465292262,25.237989465292262,25.237989465292262,28.05266601305218,28.05266601305218,28.054482004853025,28.054482004853025,28.13595609311172,30.19873561097987,30.19873561097987	0.992657240406197	30.19873561097987	0	true	5
46	27	25	24	2832	8208	65664	0	0	37.691525138448775	37.691525138448775	37.691525138448775	37.691525138448775	-26.701192417133306,-4.502267967675754,-4.502267967675754,10.06860180825854,14.159980977587729,18.851810749369474,22.277280130693534,22.277280130693534,27.083478972082087,27.083478972082087,27.083478972082087,31.35523144208532,34.29232775702314,35.24095572689858,35.24095572689858,36.756590393200696,36.756590393200696,36.756590393200696,36.756590393200696,36.756590393200696,36.756590393200696,36.756590393200696,37.691525138448775,37.691525138448775	0.991941278393929	37.691525138448775	0	true	4
47	27	24	16	1824	5472	43776	0	0	31.60661346969645	31.60661346969645	31.60661346969645	31.60661346969645	-18.23994482546314,-11.196984680637984,1.0030668718117326,11.20432193649339,18.266501900793827,22.169942012676543,22.169942012676543,25.732796360818067,25.732796360818067,25.732796360818067,25.732796360818067,25.732796360818067,28.156886329454956,29.625342896814438,31.60661346969645,31.60661346969645	0.9920215527010331	31.60661346969645	0	true	3
48	28	24	14	1596	4788	38304	0	0	30.369493563360642	30.369493563360642	30.369493563360642	30.369493563360642	-33.55813096067595,-12.066303482735051,-1.9832350770466363,5.4896930315543955,10.375895396723685,17.180483993875633,19.061557006731093,22.35463963223086,24.285677287498334,28.549817683565834,28.549817683565834,28.549817683565834,30.369493563360642,30.369493563360642	0.9918668162975854	30.369493563360642	0	true	3
49	28	24	23	2622	7866	62928	0	0	28.63108923876642	28.63108923876642	28.63108923876642	28.63108923876642	-25.732053286004614,-14.366332464062909,-3.009158651109882,2.0892879353090894,2.0892879353090894,7.847930441688716,14.930690737292338,14.930690737292338,14.930690737292338,14.930690737292338,24.22438189081881,23.865352214352292,23.865352214352292,21.985611452379676,17.556411049827865,19.623072432594725,22.802366293304516,24.63667677159634,26.466834200158736,26.663304190171967,26.663304190171967,28.63108923876642,28.63108923876642	0.9912889948165315	28.63108923876642	0	true	3
50	29	25	24	2832	8208	65664	0	0	27.701001204492428	27.701001204492428	27.701001204492428	27.701001204492428	-17.133016042746487,-10.19980083210873,2.085428929525202,2.085428929525202,9.542790064179803,12.63641265066781,12.27532944644972,5.566428567929869,9.70797877938348,12.862213859815649,16.702408393529623,16.266204143578946,16.266204143578946,16.266204143578946,17.799203122874662,19.63387108249037,21.50337646739695,24.226260935256043,24.226260935256043,26.150091073923818,26.150091073923818,26.938926242522626,27.701001204492428,27.701001204492428	0.9913428765691141	27.701001204492428	0	true	4
51	29	25	14	1652	4788	38304	0	0	26.271058315443522	26.271058315443522	26.271058315443522	26.271058315443522	-23.94845940982863,-15.873122086303455,-7.609286495396908,-1.8049574309971277,3.610122038647148,11.549767783444223,15.966514581556533,19.778788887540074,19.778788887540074,19.778788887540074,19.778788887540074,24.51755061827225,26.271058315443522,26.271058315443522	0.9908157200195935	26.271058315443522	0	true	3
52	29	25	14	1652	4788	38304	0	0	25.425037108450184	25.425037108450184	25.425037108450184	25.425037108450184	-27.267744194096394,-21.531730390625672,-6.498643853365275,6.764676769412199,9.963664366500861,13.767591907762473,18.696676056746877,18.696676056746877,21.80821505650612,23.647681432339425,23.647681432339425,23.647681432339425,25.425037108450184,25.425037108450184	0.9907324847749323	25.425037108450184	0	true	3
53	29	26	87	10614	29754	238032	0	0	34.11569094511113	34.11569094511113	34.11569094511113	34.11569094511113	-10.246461166944862,-6.031984090234214,-0.9231454631101883,-0.9231454631101883,10.208450981039896,16.168787354666968,18.067500627684126,18.067500627684126,18.067500627684126,18.067500627684126,18.067500627684126,22.48633526056807,28.217485561318686,28.217485561318686,28.337572153025793,31.488578710022836,31.488578710022836,33.09451931281772,31.423116259398128,31.423116259398128,31.423116259398128,31.423116259398128,31.423116259398128,31.423116259398128,31.423116259398128,31.489925766072055,31.489925766072055,33.30675890035014,27.141758195886442,26.226011001154667,24.429951112186664,24.442331356733582,27.256293895349398,27.256293895349398,29.13031568537652,25.888430528794792,29.082843049876775,29.082843049876775,32.3670350612372,33.239460902731366,33.239460902731366,33.239460902731366,33.239460902731366,33.239460902731366,33.239460902731366,33.239460902731366,33.239460902731366,33.239460902731366,33.239460902731366,33.239460902731366,33.258580290319685,33.258580290319685,33.258580290319685,33.258580290319685,33.258580290319685,33.258580290319685,33.258580290319685,33.258580290319685,33.258580290319685,33.258580290319685,33.258580290319685,33.258580290319685,33.258580290319685,33.258580290319685,33.258580290319685,33.258580290319685,33.258580290319685,34.10022248988805,34.10022248988805,34.10022248988805,34.10022248988805,34.10022248988805,34.10022248988805,34.10022248988805,34.10022248988805,34.10022248988805,34.10022248988805,34.10022248988805,34.10022248988805,34.10022248988805,34.10022248988805,34.10022248988805,34.10022248988805,34.10022248988805,34.10022248988805,34.11569094511113,34.11569094511113	0.9905376112179324	34.11569094511113	1	true	10
