# solver: BinaryMaxSum
# max_time: 1000
# main_solver: BinaryMaxSum
# random.seed: 1
# run: f1c1fdd9-e60b-4d50-8d13-c18cd398f8e6
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	12	12	100	113600	564696	4517568	0	0	-882.7785820160645	-6.3486590621128585	27.94680581466356	29.42104879745132	-Infinity,-Infinity,-Infinity,-Infinity,-15.314161676252994,-15.314161676252994,-15.314161676252994,-15.31416480642801,-15.314185969501494,-15.314186921026746,-15.31430486947194,-15.31430486947194,-11.504791685945758,-8.744369293449923,-8.744373467287945,-8.744377995958901,-8.744386870644279,-8.744394440848184,-8.74439700016879,-8.74439700016879,-7.032765147308075,-7.032784424873801,-7.032784424873801,-7.032784424873801,-7.032877557344724,-7.032877557344724,-7.0328813687851035,-7.0328813687851035,-6.3486590621128585,-6.34882330492799,-6.3488284587717345,-6.3488284587717345,-6.3488284587717345,-6.3488284587717345,-6.3488284587717345,-6.3488284587717345,-6.3488284587717345,-6.3488284587717345,-6.3488284587717345,-6.348856682247188,-6.3488567764282635,-6.3488567764282635,-6.3488567764282635,-6.3488567764282635,-6.3488567764282635,-6.3488567764282635,-6.3488567764282635,-6.348844546465003,-194.90220351732313,-892.0539270737492,-892.0539270737492,-892.0539270737492,-892.0539343677586,-892.0540115601708,-892.0540115601708,-892.0540115601708,-892.0540115601708,-892.0540115601708,-892.0540115601708,-892.0540115601708,-892.0540115601708,-892.0540115601708,-892.0540115601708,-892.0540115601708,-892.0540661917713,-892.0540661917713,-892.0540661917713,-890.7221340943461,-890.7221340943461,-885.6949603433383,-881.1665168087874,-881.1665168087874,-882.5151534972646,-882.5151534972646,-882.515128802712,-882.515128802712,-882.515128802712,-882.515128802712,-880.5683538703114,-880.6564888763523,-880.6564888763523,-882.7785820160645,-882.7785820160645,-882.7785820160645,-882.7785820160645,-882.7785820160645,-882.7785820160645,-882.7785820160645,-882.7785820160645,-882.7785820160645,-882.7785820160645,-882.7785820160645,-882.7785820160645,-882.7785820160645,-882.7785820160645,-882.7785820160645,-882.7785820160645,-882.7785820160645,-882.7785820160645,-882.7785820160645	0.9977623354120823	-6.3486590621128585	12	true	569
25	14	14	100	113600	580140	4641120	0	0	-167.48967805585588	25.13075756389631	36.86406649210689	34.6268215510928	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,20.66034328571135,20.660335380039733,20.660334689699305,20.660333174896486,20.660333174896486,20.66033105991493,20.660323967327784,20.660323967327784,20.660323967327784,20.660306468039487,20.660269309798373,20.660265829911943,20.660265829911943,20.660265829911943,20.660265829911943,22.690932101343606,22.690866030435927,22.690799300446486,22.687924686158354,22.687867705512843,22.687859377965808,22.687859377965808,22.687859377965808,23.254433738485076,23.254379588501628,22.650274226101057,22.650274226101057,22.650174126119513,22.650174126119513,22.64996325586584,22.64996325586584,22.64996325586584,22.64996325586584,22.64996325586584,22.64996325586584,22.64996325586584,22.64996325586584,22.64996325586584,22.64996325586584,20.795602233472508,20.795601557320047,20.795601557320047,20.795601557320047,20.795601557320047,20.795601557320047,20.795601557320047,20.795601557320047,20.795607353103094,20.795607353103094,20.795607353103094,20.795607353103094,20.795607353103094,20.795607353103094,20.795607353103094,20.795607353103094,20.795607353103094,20.795596027244223,20.795596027244223,20.795596027244223,20.795596027244223,20.795596027244223,22.628169372861578,22.628169372861578,22.628169372861578,22.62814151545939,22.62814151545939,22.62814151545939,24.543688266082142,24.543688266082142,25.13075756389631,25.13075756389631,25.13075756389631,25.13075756389631,25.13075756389631,25.13075756389631,25.13075756389631,25.13075756389631,-70.8014972180034,-167.48963310384278,-167.48963310384278,-167.48967805585588,-167.48967805585588,-167.48967805585588,-167.48967805585588,-167.48967805585588,-167.48967805585588,-167.48967805585588,-167.48967805585588,-167.48967805585588,-167.48967805585588	0.9968314678208231	25.13075756389631	7	true	414
26	14	14	100	113600	593604	4748832	0	0	-165.21023580653036	26.076537738050533	42.43169945173375	41.69280532347393	-Infinity,-Infinity,12.47402960942762,12.473897488298364,12.473897488298364,12.473894728746119,12.473891915126957,12.473887706806382,17.581472319529794,17.581465782588054,17.581465782588054,22.198724413485586,22.19867719845164,22.19867719845164,24.23102042673493,24.231019383193527,24.231010167872213,24.230952826750908,24.230937854061892,24.230937854061892,24.230937854061892,24.230937854061892,24.230937854061892,24.230937854061892,24.230936674787586,24.230936674787586,24.230936674787586,24.230936674787586,24.230936674787586,24.230686313577806,24.230686313577806,24.230686313577806,24.230686313577806,24.230686313577806,24.230686313577806,24.230686313577806,24.23055974643566,24.23055974643566,25.551046493680765,25.551046493680765,25.551046493680765,25.550951493472333,25.53035473461068,25.53035473461068,25.53035473461068,25.53035473461068,24.168899716979155,24.168899716979155,24.168899716979155,24.168899716979155,24.168899716979155,24.168899716979155,24.168899716979155,24.16883038812449,24.16883038812449,24.16883038812449,24.16883038812449,24.16883038812449,24.168693331325983,24.168693331325983,24.168693331325983,24.168693331325983,24.168693331325983,24.16865284913075,24.16865284913075,24.16865284913075,24.16865284913075,24.16865284913075,24.16865284913075,24.16865284913075,24.16865284913075,24.16865284913075,24.16865284913075,24.16865284913075,24.16865284913075,24.16865284913075,24.16865284913075,24.16865284913075,24.16865284913075,24.16865284913075,26.076537738050533,26.076537738050533,26.076537738050533,26.076537738050533,26.076537738050533,26.076537738050533,26.076537738050533,26.076537738050533,-69.27358314092515,-69.27358314092515,-165.21023580653036,-165.21023580653036,-165.21023580653036,-165.21023580653036,-165.21023580653036,-165.21023580653036,-165.21023580653036,-165.21023580653036,-165.21023580653036,-165.21023580653036	0.9962825977292168	26.076537738050533	7	true	380
27	14	14	100	114400	587268	4698144	0	0	-164.44379969402416	26.307760100318553	43.85081791835981	42.86192501228785	19.08884344597005,19.08884344597005,19.088831760608052,19.088710448936546,19.08869755897667,19.08869151220616,19.088686944241722,23.706349462904754,23.706349462904754,23.706349462904754,23.706349462904754,23.70632513939006,23.706087401699932,25.738485518894052,25.738478377226727,25.738478377226727,25.738478377226727,25.738478041458194,25.736928081142423,25.736928081142423,25.736926796991824,25.736926796991824,25.736884413111596,25.736826481023357,25.736826481023357,25.736826481023357,25.736768031105967,25.736768031105967,25.73676778406478,25.73676778406478,25.73676778406478,26.307760100318553,26.307760100318553,26.307760100318553,26.307740258130572,26.307740258130572,26.307736335188658,25.706672697075373,25.706672697075373,25.70665517231988,25.70665517231988,25.706662091300696,25.706662091300696,25.706662091300696,25.706662091300696,25.706662091300696,23.857898027444726,23.857898027444726,23.857898027444726,23.857898027444726,23.857865440266558,23.857865440266558,23.85786180715494,23.85786180715494,23.85786180715494,23.85786180715494,23.85786180715494,23.85786180715494,23.85786180715494,23.85786180715494,23.85786180715494,23.85786180715494,23.85786180715494,23.85786180715494,23.85786180715494,23.85786180715494,23.85786180715494,23.85786180715494,23.85786180715494,25.78480917270334,25.784798191863977,25.784798191863977,25.784798191863977,25.784798191863977,25.784798191863977,25.784791801838743,25.784791801838743,25.784791801838743,25.784791801838743,25.784791801838743,25.784791801838743,25.784791801838743,25.784791801838743,25.784791801838743,25.784791801838743,25.784791801838743,-69.08224098482582,-69.08224098482582,-69.08224098482582,-69.08224098482582,-164.44379969402416,-164.44379969402416,-164.44379969402416,-164.44379969402416,-164.44379969402416,-164.44379969402416,-164.44379969402416,-164.44379969402416,-164.44379969402416,-164.44379969402416	0.9962825977292168	26.307760100318553	8	true	362
28	14	14	100	114400	587268	4698144	0	0	36.79116259615989	36.79116259615989	45.57581850254669	45.57581850254669	25.13013239822702,25.13013239822702,25.130115597006395,25.13000654945533,25.129802338605685,25.129802338605685,25.129799501889536,26.959307756164677,26.959307756164677,26.959134687683672,26.959134687683672,26.959134687683672,26.959126720456368,26.959126720456368,26.959086716112154,26.959086716112154,26.959086716112154,26.959086716112154,26.95907381170541,26.9590702300232,26.9590702300232,26.9590702300232,26.95908070249915,26.959078706077776,26.959078706077776,26.959078706077776,26.95906681988457,26.95905533801944,26.95905533801944,26.95905533801944,26.95905533801944,27.531935226743038,27.531925273668733,27.531925273668733,27.531925273668733,27.531925273668733,27.53189233619434,27.53189233619434,27.53189233619434,27.53189233619434,26.932509439683425,26.932509439683425,26.932485285827777,26.932485285827777,26.932485285827777,26.932485285827777,26.93233442158203,26.93233442158203,26.93246010273464,26.93246010273464,26.93246010273464,26.93246010273464,26.93246010273464,26.932584417751077,26.932584417751077,26.932584417751077,25.086236228958064,25.086236228958064,25.086236228958064,25.086236228958064,25.086236228958064,25.086236228958064,25.086236228958064,25.086236228958064,25.086236228958064,25.086236228958064,26.932584417751077,26.932584417751077,26.932584417751077,26.932584417751077,26.932584417751077,26.932584417751077,28.877689476949474,28.877812863871984,28.877812863871984,28.877812863871984,28.877812863871984,28.877812863871984,28.877812863871984,28.877812863871984,28.877812863871984,28.877812863871984,28.877812863871984,28.877818824005917,28.877818824005917,28.877818824005917,28.877818824005917,28.877818824005917,28.877818824005917,33.51287790713103,36.79116259615989,36.79116259615989,36.79116259615989,36.79116259615989,36.79116259615989,36.79116259615989,36.79116259615989,36.79116259615989,36.79116259615989,36.79116259615989	0.9962825977292168	36.79116259615989	5	true	358
29	14	13	100	114400	587268	4698144	0	0	-775.8506286264543	14.992162817282654	43.2711601597209	42.98039998786331	-Infinity,-Infinity,-Infinity,14.91984227538552,14.91984227538552,14.91984218692702,14.91984218692702,14.91984218692702,14.91984218692702,14.919838503281774,14.91983711908405,13.033993466469362,13.033838637532817,13.033819635218016,13.03387641413476,13.03387641413476,13.033871480982263,13.033871480982263,13.033870679240856,13.033870679240856,13.033861742159168,13.033861742159168,13.033861742159168,13.033861742159168,13.033854159375657,13.033854159375657,13.033854159375657,13.033826166687597,13.03382278572348,13.033816241903288,13.033816241903288,13.033816241903288,13.033816241903288,13.033816241903288,13.03360871247694,13.03360871247694,13.03360871247694,13.03360871247694,13.03360871247694,13.03360871247694,13.03360571756891,13.03360571756891,13.03360571756891,13.033532336093963,13.033532336093963,13.033532336093963,13.033532336093963,13.033532336093963,13.033532336093963,13.033532336093963,13.033532336093963,13.033532336093963,13.033532336093963,13.033532336093963,13.033532336093963,13.033532336093963,13.033532336093963,13.033532336093963,13.033532336093963,13.033508268395828,13.033508268395828,13.033508268395828,13.033508268395828,13.033508268395828,14.992162817282654,14.992162817282654,14.992162817282654,14.992162817282654,14.992162817282654,14.992162817282654,14.992162817282654,14.992162817282654,14.992162817282654,14.992162817282654,14.992162817282654,14.992162817282654,-173.55327134141146,-570.4469285849533,-570.4469285849533,-570.4469285849533,-570.4469285849533,-570.4469285849533,-673.5712099209743,-673.5712099209743,-775.8508763415466,-775.8508763415466,-775.8508763415466,-775.8508763415466,-775.8508763415466,-775.8508763415466,-775.8508763415466,-775.8508763415466,-775.8508763415466,-775.8508763415466,-775.8508763415466,-775.8508763415466,-775.8506286264543,-775.8506286264543,-775.8506286264543,-775.8506286264543	0.9962914805418883	14.992162817282654	9	true	353
30	14	13	100	114400	580140	4641120	0	0	24.555877117162225	24.555877117162225	45.52704802148212	45.52704802148212	16.198277216628775,16.198277216628775,16.198222301048,16.19813058802299,15.280318313682976,15.280314931644021,15.280313483228163,15.280282338352258,15.280282338352258,15.280282338352258,13.39435255153743,13.39435255153743,13.39435255153743,10.404001469741715,10.404001469741715,10.403897443300124,10.403897443300124,10.403897443300124,10.403874616120468,10.403874616120468,10.403874616120468,10.403874616120468,10.403860147612903,10.403860147612903,10.403845058625969,10.403845058625969,10.403845058625969,10.403845058625969,10.403845058625969,10.403816260468638,10.403816260468638,10.403816260468638,10.403814948152352,10.403814948152352,10.403814948152352,10.403814948152352,10.403814948152352,10.403814948152352,10.403700069934786,10.403598520454025,10.403598520454025,10.403598520454025,10.403598520454025,10.403598520454025,10.403598520454025,10.403598520454025,10.403598520454025,10.403598520454025,10.403598520454025,10.403598520454025,10.40353303911219,10.40353303911219,10.40353303911219,10.40353303911219,10.40353303911219,10.40353303911219,10.403528449411667,10.403643327629233,12.378888212217511,12.378888212217511,12.378888212217511,12.378888212217511,12.378888212217511,12.378888212217511,12.378888212217511,12.378888212217511,12.378888212217511,12.378888212217511,12.378888212217511,12.378888212217511,12.378888212217511,12.378888212217511,12.378888212217511,12.378888212217511,12.378903301204438,12.378903301204438,12.378903301204438,12.378903301204438,-671.8996842333938,-671.8996842333938,-671.8996842333938,24.555877117162225,24.555877117162225,24.555877117162225,24.555877117162225,24.555877117162225,24.555877117162225,24.555877117162225,24.555877117162225,24.555877117162225,24.555877117162225,24.555877117162225,24.555877117162225,24.555877117162225,24.555877117162225,24.555877117162225,24.555877117162225,24.555877117162225,24.555877117162225,24.555877117162225	0.9961225974367784	24.555877117162225	7	true	474
31	14	14	100	114400	580140	4641120	0	0	-881.1873960089273	16.352529979390468	40.101355009284795	39.49954666560206	15.435104552740846,15.435104552740846,15.434964038120732,15.434963545139595,15.43496326952026,15.434959398946972,15.434958116560395,16.352529979390468,16.352529979390468,16.352494465654203,15.434305747188425,15.434257375377136,10.557588947849482,10.557359807809618,10.557359807809618,10.557359807809618,10.557359807809618,10.557359807809618,10.557349349811261,10.557347175897895,10.557347175897895,10.557347175897895,10.557347175897895,10.557347175897895,10.557347175897895,10.557322397828322,10.557322397828322,10.557322397828322,10.557277747882516,10.557277747882516,10.557277747882516,10.557277747882516,12.552891286765238,12.552891286765238,12.552891286765238,12.552891286765238,12.552891286765238,12.552838159514458,12.552838159514458,12.552838159514458,12.552838159514458,12.552838159514458,12.552838159514458,12.552891286765238,12.552891286765238,12.552891286765238,12.552891286765238,12.552891286765238,12.552891286765238,12.552891286765238,12.552891286765238,12.552891286765238,12.552891286765238,12.552891286765238,12.552891286765238,12.552891286765238,12.552891286765238,12.552891286765238,12.552891286765238,12.552891286765238,12.552891286765238,12.552891286765238,12.552891286765238,12.552891286765238,12.552891286765238,12.552891286765238,12.552891286765238,12.552891286765238,12.552891286765238,12.552891286765238,12.552891286765238,12.552891286765238,12.552891286765238,12.552891286765238,12.552891286765238,12.552891286765238,12.552891286765238,12.552891286765238,12.552891286765238,12.552891286765238,-175.25946452845795,-775.2593277927342,-775.2593277927342,-775.2593277927342,-775.2593277927342,-775.2593277927342,-775.2593277927342,-775.2593277927342,-881.1873960089273,-881.1873960089273,-881.1873960089273,-881.1873960089273,-881.1873960089273,-881.1873960089273,-881.1873960089273,-881.1873960089273,-881.1873960089273,-881.1873960089273,-881.1873960089273,-881.1873960089273	0.9959038170506138	16.352529979390468	10	true	353
32	14	14	100	112000	585288	4682304	0	0	-564.2220850265801	31.842820032656	44.09940899748269	43.90407233892025	31.842820032656,31.842820032656,31.842728838814786,31.842549685663336,31.842545541485343,31.842544066964045,31.842541120707317,31.84252639708172,31.842475657848645,31.08686220473887,28.46853380388989,28.46853380388989,28.46853380388989,27.39351164748203,27.39351164748203,27.39351164748203,25.135393104833824,25.135393104833824,25.13527745118961,25.13527745118961,25.13511207385099,25.13511207385099,25.13511207385099,25.13511207385099,25.13511207385099,25.13511207385099,25.13511207385099,25.13510737089989,25.13510737089989,25.13510737089989,25.13510737089989,25.13510737089989,25.13510737089989,25.13510737089989,25.13510737089989,25.13510737089989,25.13510737089989,25.13510737089989,25.13510737089989,25.13510737089989,25.13510737089989,25.13510737089989,25.13510737089989,25.13510737089989,25.13510737089989,25.13510737089989,25.135110072858637,25.135110072858637,25.135110072858637,25.135110072858637,25.135110072858637,25.135110072858637,25.135110072858637,25.135110072858637,27.393228615506843,27.393228615506843,28.468250771914704,28.468250771914704,28.468250771914704,28.468250771914704,21.216860740977488,21.216860740977488,21.216860740977488,21.216860740977488,21.216860740977488,21.216860740977488,21.216860740977488,21.216860740977488,21.216860740977488,21.216860740977488,21.216860740977488,21.216860740977488,21.216860740977488,21.216860740977488,21.216860740977488,21.216860740977488,21.216860740977488,21.216860740977488,21.216860740977488,21.216860740977488,21.216860740977488,21.216860740977488,21.216860740977488,21.216860740977488,21.216860740977488,21.216976394621703,21.216976394621703,21.216976394621703,21.216976394621703,21.216976394621703,21.216976394621703,21.216976394621703,21.216976394621703,21.216976394621703,21.216976394621703,21.216976394621703,-167.3287569008586,-362.88144615130267,-564.2220772488747,-564.2220850265801	0.9959038170506138	31.842820032656	7	true	345
33	15	13	100	111600	581328	4650624	0	0	-474.16221358147027	11.101965952894476	38.42789635433342	37.71951425786616	-5.512763125433217,-5.512763125433217,-5.512839093696222,-5.513149575655227,-5.513150324709706,-5.51315473536345,-5.513154154498544,-5.513156079135932,-5.51318369824228,-5.51318369824228,-5.513193276294338,-5.513207578203016,-5.513216863763283,-5.513216863763283,-5.513216863763283,-5.513216863763283,-5.513216863763283,-5.513216863763283,-5.513220880738693,-5.513235019331056,-5.513235019331056,-5.513235019331056,-5.513259558002865,-5.513259558002865,-5.513259558002865,-5.513259558002865,-5.513267638070623,-5.513267638070623,-5.513267638070623,-5.513267638070623,1.213594857853984,10.276740682594989,11.101965952894476,11.036796830181288,11.036796830181288,11.036796830181288,11.036796830181288,8.198782954376256,8.198782954376256,8.198782954376256,1.4668459231941142,1.4668459231941142,1.4667794313188693,1.4667794313188693,1.4667794313188693,1.4667794313188693,1.4667794313188693,-4.095243240772952,-4.095243240772952,-4.095243240772952,-4.095243240772952,-4.095243240772952,-4.095243240772952,-96.54726228481759,-96.54726228481759,-387.80701013816105,-590.0225723407619,-689.0455405925575,-689.0455405925575,-689.0455405925575,-788.9807433524996,-788.9807433524996,-1094.403217375732,-1305.5319383979981,-1305.5319383979981,-1305.550751665359,-1305.550751665359,-1305.550751665359,-1305.550751665359,-1305.550751665359,-1305.550751665359,-1305.550751665359,-1305.550751665359,-1305.550751665359,-1305.550751665359,-1305.550751665359,-1305.5506950622155,-1305.5506950622155,-1305.5506950622155,-1305.5506363113307,-1305.5506363113307,-1305.5506363113307,-1198.8433500654276,-1092.4219152890648,-1092.4219152890648,-885.7912939265807,-784.3817056965868,-784.3817056965868,-784.3816589231155,-683.9564613579983,-578.8049342707209,-578.8049342707209,-474.16232390947687,-474.1623158294092,-474.1623158294092,-474.1623158294092,-474.1623158294092,-474.1623158294092,-474.16221358147027,-474.16221358147027	0.9957724757093455	11.101965952894476	10	true	338
