# solver: Random
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: f3e24cd9-5003-4db2-8b62-96fc88d200d2
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	12	12	100	0	0	0	0	0	-Infinity	-90.43821571711156	-32.62232236368376	31.192731802456407	-578.3548193351861,-984.0865154142176,-333.44814422083545,-680.8486816113833,-Infinity,-436.085430211187,-581.4876973961176,-Infinity,-480.4727749591237,-329.60579671547794,-527.847350664731,-531.7736239310073,-329.4438015439769,-472.1884440496381,-229.0317463759372,-325.8865517132437,-577.3899466132914,-428.56222427332784,-683.1331390501934,-535.2000734100466,-579.0260027027598,-687.7621661076374,-523.228025273733,-182.12490451162498,-239.1367131037457,-189.37115615434325,-236.9492064761826,-529.0856115916706,-134.0414741184183,-90.43821571711156,-233.09171682406128,-Infinity,-436.7464324690863,-Infinity,-379.5569209038018,-225.98643470722612,-578.9332479922033,-382.8607185502722,-474.8694939846266,-Infinity,-Infinity,-579.8524240467744,-139.30934064972737,-535.372854281597,-633.8751836757629,-581.77556072006,-Infinity,-328.5752821309813,-436.22281028670216,-435.59300202584694,-Infinity,-477.08139929577493,-182.4501069801622,-229.05496258632252,-473.70626487668966,-290.72702546584384,-328.38908831248796,-475.33010222774857,-383.55084354664774,-493.25990357023574,-429.9412889882159,-574.5220106703609,-927.6458196745227,-235.34972256913548,-Infinity,-476.2044485807748,-477.86722274720796,-427.7461334883037,-381.16764238756605,-485.6861986821151,-381.5736405582799,-424.3581600514149,-483.362561845972,-586.8476409568093,-489.63999114745064,-526.9930424194366,-Infinity,-525.6174106599797,-336.73056988794576,-387.9350952873146,-477.9408531070823,-789.21979264928,-580.8252855391725,-Infinity,-585.2801621830286,-731.4958169979558,-530.3329576218238,-383.9782060597974,-591.523949441778,-575.8533759416865,-324.3454745707967,-236.3957349633311,-525.9171984912981,-738.0674027707734,-128.67696476706635,-281.46162058654147,-331.75091878376486,-385.61630442174504,-433.02727626922655,-Infinity	0.9977623354120823	-90.43821571711156	6	true	37
25	14	14	100	0	0	0	0	0	-629.0477837779605	-131.17984247146276	32.1079055275076	35.81480526973503	-724.9077186914492,-532.959732982788,-479.82786156302126,-777.7654524464683,-984.6016927508896,-539.2645084053202,-629.7427509424838,-221.7707029799648,-569.7575226980626,-924.0948541057211,-479.19022955171874,-131.17984247146276,-Infinity,-620.2793385427246,-627.8133102346634,-474.4948995921508,-286.0869656043677,-423.53459696922675,-286.4981692530642,-222.27002535243176,-635.7798906245235,-824.1600493547822,-323.8825950653608,-680.6850075694873,-332.59532748264877,-376.814517280355,-Infinity,-877.3052043017339,-624.2282533245683,-573.7117381851037,-676.1059483976281,-923.8014327201768,-625.3525531151391,-528.1427150020058,-473.1552619419458,-621.4615704614839,-478.5502408847881,-827.097137781991,-327.9230679246906,-671.4643618645335,-521.1039993209957,-776.3675947914902,-623.2676840690497,-675.5246607504946,-727.6289766475442,-Infinity,-672.7343248141191,-777.7281148206658,-679.1964621022115,-568.4573491569829,-629.7236032227087,-829.7457959917882,-624.7908849019676,-776.884388298046,-379.33772188745934,-574.8403326815491,-728.3398401606945,-471.64221696614237,-525.4511625385541,-481.19827653902666,-726.5594920433964,-780.2733559030189,-631.9961546778038,-323.65580177883675,-528.8825740178523,-621.7120577606504,-530.4219686570484,-730.838960435058,-828.6481888396523,-927.0886779964543,-867.5428620335362,-431.61625075821297,-578.7951705969629,-476.59508149682785,-385.81050541013843,-430.2045601478746,-Infinity,-Infinity,-575.5760393239951,-581.0229288704902,-428.0702964943241,-222.56252686035316,-433.01530086109545,-825.9701843190222,-525.2582718457132,-677.0251414066895,-Infinity,-876.1396641836131,-368.9026344273157,-787.0529153445708,-779.8747465523157,-675.1103354224309,-778.9881502539847,-826.6469308067607,-575.3896133547514,-476.4533425335176,-823.2138031931955,-726.1593423961366,-919.9157673515914,-629.0477837779605	0.9968314678208231	-131.17984247146276	5	true	11
26	14	14	100	0	0	0	0	0	-471.88363873257856	-84.26758931681839	41.1399134476548	39.83141607041165	-573.0237899445845,-Infinity,-371.07224534671303,-480.48412700933966,-Infinity,-325.98383503713126,-Infinity,-478.66027701613785,-522.4633383182497,-621.0256008028781,-636.3237140711574,-732.057680129932,-627.2014600680712,-423.2023583898835,-479.35166607304365,-Infinity,-425.91600953627585,-170.72392915497662,-278.0554321347094,-574.8157512101246,-529.5269438854463,-329.6889809251527,-424.979177128326,-Infinity,-572.4612681639378,-519.6341120541275,-414.93768498427744,-631.3894921258645,-328.59354970283897,-726.8015657824317,-Infinity,-628.9719150063877,-418.26359078819286,-273.2500193532213,-417.5563966230005,-527.5068890845824,-331.45940054958015,-716.5173037017554,-430.30862235306176,-573.4839565998608,-471.0247531109101,-Infinity,-582.7532381758465,-Infinity,-621.6697689672917,-273.52774484664803,-325.77992006223377,-525.422187150548,-672.1416257567324,-420.6999519943092,-476.16909293163275,-633.6024484626944,-580.8230270567133,-674.4603551303992,-725.8940450258707,-Infinity,-283.4211417793466,-127.91404509493377,-573.8581630171499,-787.0632525968155,-664.9744898269793,-732.2088650408946,-529.8972544581791,-168.22855610496808,-Infinity,-Infinity,-332.841309565866,-672.7355204604311,-317.2201456385154,-Infinity,-433.3198970675265,-331.41310018693093,-Infinity,-476.464431987991,-374.10929649153456,-626.513160637915,-422.2745689545845,-636.2324919205222,-Infinity,-672.80681389802,-227.171491245591,-471.9231039066864,-Infinity,-472.28581584527615,-372.1477062962491,-626.170298904467,-522.3686980545015,-225.12407572474592,-824.1863121638015,-371.408701641986,-383.8073563711648,-275.1757460933248,-84.26758931681839,-277.118076153398,-475.10699467695,-175.27767429007557,-569.5895277122131,-375.86021289399656,-570.3009405251928,-471.88363873257856	0.9962825977292168	-84.26758931681839	3	true	10
27	14	14	100	0	0	0	0	0	-269.57265974968686	-66.20508662117184	-5.396360500880475	-5.096608021143763	-271.18171240697365,-219.221052147203,-269.7456982537247,-571.2534611113634,-427.2329656401965,-277.10804393863305,-728.9802696950783,-417.2143833423527,-771.1664496630337,-366.86091831019354,-463.04705742489045,-Infinity,-631.4405675655628,-518.0789293343431,-274.0620167634524,-823.5482805128073,-Infinity,-326.0767704332328,-327.172736109639,-476.54830769853834,-472.25311439928527,-221.8758072661423,-336.0936182656925,-325.71389304136136,-323.8315619154391,-271.14577801168747,-778.3066333102537,-480.38859025279817,-512.7418798292039,-671.7604883985738,-Infinity,-323.6900410999813,-279.99300754383455,-463.9784532070592,-322.5798774177709,-583.2711530165064,-673.6554055530653,-371.97763391217893,-320.52911345475906,-Infinity,-471.483326411479,-516.9094785034439,-479.24495809654195,-Infinity,-173.74480356023227,-679.7783914937768,-474.61821514026127,-371.1929258811966,-533.6200843056497,-625.4520941358044,-362.0847136563767,-562.9278478083821,-371.8400985354098,-Infinity,-574.1134192907198,-268.8540556457376,-Infinity,-75.58425380364818,-321.62452372356836,-523.8666180669617,-376.29396690173854,-Infinity,-Infinity,-222.88668212827523,-Infinity,-423.9261771198519,-634.0829086619364,-228.2135817796963,-972.2277485287501,-422.03594228983565,-575.5157944705122,-280.9088836192675,-319.9521656043028,-271.97219218544876,-Infinity,-721.9296355431289,-571.4581454605224,-71.43137018212595,-316.815323722025,-228.71525475549953,-469.1328287128154,-419.55611085776565,-468.8467636044137,-671.8968082404731,-133.26584622120663,-Infinity,-516.8974335624342,-469.95997634149586,-467.94996650472643,-278.57894473995236,-422.8796768023067,-66.20508662117184,-275.3125707889561,-571.7373460151346,-328.59094615348954,-426.11613375815995,-274.22632133270355,-578.1672789350779,-372.2060222349736,-269.57265974968686	0.9962825977292168	-66.20508662117184	1	true	9
28	14	14	100	0	0	0	0	0	-376.20044475560366	-77.22837268164567	44.40811852068204	-4.268782335706088	-Infinity,-475.673011153038,-520.9876141040841,-418.30419947656844,-Infinity,-372.8855919243746,-521.0632294792476,-474.08995259364826,-571.5952469786971,-572.1376243312021,-482.94442857596516,-311.71337641575485,-521.828913870062,-620.8429107984188,-528.9424966159686,-619.280208703542,-614.0874057362263,-269.5850073775333,-369.9392876305807,-165.13497379196966,-270.5100931561951,-375.0890493463622,-319.46501167648995,-77.74673104851806,-377.49783762106944,-468.85453986319516,-465.21075047642927,-270.94460738593887,-269.17947635360866,-417.6153328181769,-870.7929790418483,-515.3708607668173,-379.6764672132977,-366.8332471471685,-86.9464154385962,-419.4612022512273,-81.66288048635916,-Infinity,-373.5001231394549,-354.7328864486047,-468.50439568598904,-225.95927806966245,-363.7777914777571,-Infinity,-569.1975529529856,-569.6814377091737,-619.1673471156357,-318.06097400057354,-371.2788404136045,-268.27577957967657,-226.50373476505897,-Infinity,-376.56978451278195,-Infinity,-419.97237132784454,-Infinity,-281.04448169320796,-324.1968124011006,-280.37758380644163,-472.81762148622744,-568.0185852760337,-Infinity,-465.43940584730666,-577.8110829431165,-424.14411117636416,-234.9050962784364,-Infinity,-527.9487236785976,-526.4310375656007,-375.5210886348223,-576.5367279411331,-564.5458661952823,-575.987170325573,-177.71628462122672,-Infinity,-228.53629475719214,-318.3578924137924,-Infinity,-220.2481300814855,-476.5681344583954,-221.14302014451962,-373.402501785881,-473.69243641882844,-515.2969168778267,-420.2877460728948,-670.1968093875721,-421.59308267945704,-575.0167002375376,-131.38519040214626,-516.8319684893984,-77.22837268164567,-475.74365706180896,-425.82690172805104,-567.674377467328,-275.0717960656467,-317.7315321462705,-Infinity,-177.8389175679818,-466.93168586004026,-376.20044475560366	0.9962825977292168	-77.22837268164567	3	true	8
29	14	13	100	0	0	0	0	0	-Infinity	-139.43650676959527	-118.34089027229416	-5.2633396303745315	-464.3022539438436,-333.60868352802595,-223.1630397545645,-520.023491931205,-321.2080548325096,-420.18660089650194,-467.4326953686606,-374.71835403530656,-316.6831217068865,-369.42510508157375,-324.9932812711459,-369.7446201055135,-564.491285974386,-473.8243761771128,-383.2733257418735,-Infinity,-Infinity,-139.43650676959527,-471.11789851126497,-467.03763864798344,-368.94104997067285,-142.49255618360803,-722.8866765470787,-221.22383432747225,-367.6664906086124,-274.1144849763576,-725.9870134662067,-237.75208829542134,-234.29689643561375,-522.5231061255821,-576.5631991853932,-373.2713306946551,-Infinity,-417.96964017228186,-368.2629006521609,-222.10852068301432,-578.3488859010198,-575.0004911047783,-Infinity,-479.0716466226279,-331.2640364320221,-282.146137412819,-427.2848230263177,-Infinity,-181.18215802255506,-424.5941815052987,-Infinity,-176.60313963369643,-Infinity,-476.47902241115423,-231.0690625459708,-328.4954686448363,-Infinity,-426.41303011427163,-373.2250195428418,-429.9908265849336,-276.25758459534444,-727.9530919583642,-369.7980330463212,-Infinity,-625.9470236114225,-384.4408694265419,-292.5262623829184,-333.8148081509878,-Infinity,-568.2319910082304,-Infinity,-219.26318744312942,-525.5771593808408,-366.62392401576955,-435.421543335057,-721.1537068619189,-384.9929121786523,-Infinity,-Infinity,-465.4765249444453,-Infinity,-942.8672225463288,-Infinity,-520.5171527962367,-274.2492570105578,-217.18862872056994,-268.4732310823317,-468.6245628972471,-622.6066502033783,-Infinity,-370.530141105602,-521.4451942639956,-572.5732903050096,-375.0155864897607,-Infinity,-170.44812711805423,-672.6103883681442,-366.36226495502586,-Infinity,-666.8494073591746,-682.5178708512169,-475.38264500904467,-521.7327806128884,-Infinity	0.9962914805418883	-139.43650676959527	5	true	7
30	14	13	100	0	0	0	0	0	-325.0764425437926	29.52524701293388	41.07303915010314	45.830166187642426	-230.64958090465714,-474.5418868730102,-431.8661794970636,-372.7909447119965,-569.2026486420009,-335.8723398260823,-177.6612274454275,-524.6587315192894,-671.6067854773594,-75.03002897735388,-Infinity,-Infinity,-476.6773800702995,-475.3700555089543,-465.3627667004584,-365.7817875700719,-519.2332128893793,-Infinity,-641.3338368221213,-376.09369003137914,-366.70854038794016,29.52524701293388,-379.2791617584986,-Infinity,-371.31144111465386,-476.8123536286178,-618.5805797581091,-334.49580863514507,-518.6830702128327,-624.864787151643,-279.0515632278302,-722.9513857421003,-561.0863085512656,-320.852142593388,-236.3794191141322,-Infinity,-571.7524638375545,-321.48116724656126,-177.9736520986543,-670.6629783249316,-123.97918563461586,-388.22200572058273,-129.9103254535826,-323.2674305898806,-371.1802860456608,-479.11171305524994,-368.7019919018044,-36.660476838380944,-319.41907210349586,-175.71767744603636,-823.3667153047969,-326.30008711045866,-282.3756113825367,-321.6033913363091,-75.98787114991157,-383.8128059306942,-516.686212229969,-426.20827371536024,-315.8096656738137,-322.511407921428,-430.17032550735354,-Infinity,-527.7122176807057,-475.7860613426687,-366.40382564843725,-168.69418299255813,-174.38127947334067,-231.14170256355476,-519.6034251870169,-920.125980283557,-735.7323948020485,-171.070198182416,-Infinity,-197.52851619739548,-489.80545393996283,-Infinity,-276.7569315259972,-437.8357099144308,-285.8705643215456,-377.9012884933794,-478.3214818414664,-476.7520629610008,-175.44845873621264,-432.98722890391736,-Infinity,-221.98654155253965,-269.8469111904488,-227.69622026608488,-623.385531290633,-378.6018351346737,-168.4205445783736,-477.7614747427045,-441.5290391835656,-Infinity,-283.91310781570814,-725.0395204977253,-373.73684564671737,-519.226775063931,-227.1487935697726,-325.0764425437926	0.9961225974367784	29.52524701293388	2	true	8
31	14	13	100	0	0	0	0	0	-173.69734371355355	-36.63737772766217	40.9652961039222	40.347956358772294	-667.3912536121359,-541.5523536544176,-570.1857544602772,-677.4306865094497,-267.39885703192044,-Infinity,-482.11753950051576,-733.6230339913745,-475.34355636401756,-Infinity,-470.2064207210202,-Infinity,-Infinity,-485.86054033212184,-526.0583411074952,-168.54670200999354,-523.5024085098847,-379.1536289480805,-243.8901802854161,-975.2324753368121,-262.8322506726762,-671.757517483723,-434.3279841891457,-279.50390183068026,-522.7574007004893,-884.4356689006371,-525.4611561348751,-575.0771903246997,-Infinity,-623.5706764290147,-388.7864227701535,-180.92992822009998,-772.0315997564817,-569.8260865501705,-426.156164160137,-571.7634910168052,-324.08954326869656,-374.79742100022656,-338.0532954810795,-585.2801277756578,-623.2283400458914,-311.9715812957706,-579.251930502796,-620.7341711031239,-174.7314245939862,-270.45091621082753,-184.04729028498988,-278.8673950303035,-629.4952847560129,-720.3156202964385,-465.46771907272324,-175.0742538338555,-481.6542970384045,-225.86749104618576,-621.6409608283848,-425.0024131614425,-181.82818344831003,-36.63737772766217,-427.78674693494224,-571.3047878093647,-379.5711508473798,-423.1891577300923,-876.5649905819095,-287.92138882311616,-371.79434934501325,-421.16516525233874,-237.98029545031562,-Infinity,-675.3544012574047,-681.0484977662779,-487.10122099304726,-271.02124318752936,-525.4439212815903,-468.8842659861997,-Infinity,-481.41040941606525,-Infinity,-430.30326884882663,-Infinity,-334.1544290536669,-371.03558415567943,-178.62862687286935,-88.43324041654664,-Infinity,-420.4594009677829,-581.8406675309968,-472.3102290898595,-Infinity,-524.2195074546285,-727.200536720626,-421.20433718261785,-Infinity,-471.0507265815852,-419.10455584147115,-Infinity,-819.9265852766871,-677.8817852081361,-372.02353437422863,-729.8601985212917,-173.69734371355355	0.9959126998632849	-36.63737772766217	5	true	8
32	14	13	100	0	0	0	0	0	-Infinity	-77.33060173616046	-127.21847048624271	40.79099561538107	-227.56708205748893,-280.56023033954966,-486.82155323880414,-Infinity,-477.7750228472154,-669.3945870649595,-473.9580451675172,-227.36024997976185,-468.14693127987016,-233.88522933951248,-623.3119775219022,-179.20814409622326,-Infinity,-176.41810537635715,-167.02571181804524,-525.2038470935412,-Infinity,-218.35504587737879,-470.42810253315525,-516.3945893470957,-625.2597589033954,-Infinity,-485.5671619009952,-120.3506118694285,-269.53282004380975,-575.3394649938874,-270.1543317325994,-626.0197345204119,-173.34196922505916,-279.7407581343191,-372.74315598023685,-474.5053851405651,-565.8670325945504,-277.5262104186387,-Infinity,-523.4626869210125,-576.7461873513295,-425.78632137014534,-376.47050213945647,-Infinity,-628.0736493996674,-Infinity,-471.3439413555974,-623.0742909452508,-331.3903666912497,-425.0434171188515,-Infinity,-925.8288112037121,-283.5964250571059,-Infinity,-578.1004618258472,-322.45470970965823,-Infinity,-720.9972335243268,-425.6965606837998,-371.9554524277106,-277.98416489242794,-524.1676080541982,-476.6869989502233,-Infinity,-223.66456141145713,-517.6158756340186,-273.7638742099956,-388.9016192572236,-278.944208170457,-271.87856973657625,-431.6106375109263,-420.4011058863158,-474.51084088286746,-268.0510362448592,-478.86562482134207,-526.5858757755929,-734.2008389982011,-571.363780871484,-523.6334510506402,-423.5821087631476,-675.6783017728501,-328.62028721283855,-567.6313210236027,-826.2376368477925,-429.4257312936694,-380.2431890311866,-326.7459679589247,-322.43701758509326,-522.7902046599215,-172.41115249522005,-Infinity,-318.9414298667067,-372.04413455906575,-565.8801624075778,-416.4997145258759,-Infinity,-490.6556929361089,-219.07444694281622,-520.6442351654422,-476.3874516146605,-476.71765456064264,-77.33060173616046,-Infinity,-Infinity	0.9959126998632849	-77.33060173616046	4	true	8
33	15	13	100	0	0	0	0	0	-331.7162251870657	-82.53797814027531	37.69281711287714	41.118394772859645	-127.15063328535389,-684.9262299861733,-478.85732818596813,-574.2382013496033,-232.00737473111428,-484.1549393478945,-487.8756692661495,-280.1221908035438,-481.50210067830227,-436.6369463795879,-476.8824950965655,-223.07429349677105,-525.1285452593307,-231.53143897635323,-435.72496231583557,-Infinity,-292.84368047536964,-523.358758805071,-183.33948053260212,-472.2700403777092,-437.46532242262674,-830.0990563163728,-938.4233849294783,-Infinity,-372.90074272562447,-171.81066434552648,-Infinity,-327.750811959429,-Infinity,-Infinity,-242.28074429372506,-634.898267757857,-527.1243188239399,-576.4388377032161,-431.9505416739218,-226.79352127478035,-378.99961385517275,-329.0637778866768,-Infinity,-528.0276935148651,-473.55099625294696,-629.0247381962912,-532.5931542608322,-234.72355287796972,-Infinity,-Infinity,-531.6399953500295,-489.6664315734705,-178.84793054502535,-82.53797814027531,-370.7039495716017,-522.3695952624114,-470.38786546688647,-371.44133045484506,-139.90404809601532,-474.512384378913,-1138.5875839372952,-431.86114960556466,-475.65229943509917,-277.00937264730874,-230.48701514922956,-586.9833740823844,-233.073114293789,-338.3578419863614,-583.4869992178451,-417.01030578989787,-181.9346919986827,-331.240738224986,-382.8853242267111,-Infinity,-384.13634430616514,-376.83628330155676,-624.7407362539653,-129.35253324615547,-274.0245374618608,-Infinity,-Infinity,-242.5900081497248,-188.75925480630036,-429.4598116365154,-433.701128605105,-Infinity,-329.12870526515655,-339.34540155300346,-387.9821329627045,-592.1582795165834,-429.3482742831368,-677.552863149348,-Infinity,-332.60831286874605,-380.1741898208836,-Infinity,-473.47762999498605,-89.90068927370915,-424.9063309732615,-527.7218969807313,-376.9360148088917,-131.43644541225444,-423.6075315471554,-331.7162251870657	0.9956892404646842	-82.53797814027531	4	true	7
