# solver: Greedy
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: f6f86688-6ac1-43de-9a6a-1de76aa6cf66
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	1	0	0	0	0	0	1.5477450004905726	1.5477450004905726	1.5477450004905726	1.5477450004905726	1.5477450004905726	0.9991239280309399	1.5477450004905726	0	true	1
25	6	6	1	0	0	0	0	0	1.8186301709355843	1.8186301709355843	1.8186301709355843	1.8186301709355843	1.8186301709355843	0.9990443117099597	1.8186301709355843	0	true	2
26	6	6	1	0	0	0	0	0	2.002477487308196	2.002477487308196	2.002477487308196	2.002477487308196	2.002477487308196	0.9990443117099597	2.002477487308196	0	true	1
27	6	6	1	0	0	0	0	0	2.1618776781638624	2.1618776781638624	2.1618776781638624	2.1618776781638624	2.1618776781638624	0.9990443117099597	2.1618776781638624	0	true	1
28	6	6	1	0	0	0	0	0	2.310726725929456	2.310726725929456	2.310726725929456	2.310726725929456	2.310726725929456	0.9990443117099597	2.310726725929456	0	true	0
29	6	6	1	0	0	0	0	0	2.4449326013766717	2.4449326013766717	2.4449326013766717	2.4449326013766717	2.4449326013766717	0.9990443117099597	2.4449326013766717	0	true	1
30	6	6	1	0	0	0	0	0	2.5638671146571794	2.5638671146571794	2.5638671146571794	2.5638671146571794	2.5638671146571794	0.99887542860485	2.5638671146571794	0	true	0
31	6	6	1	0	0	0	0	0	2.6694887052075162	2.6694887052075162	2.6694887052075162	2.6694887052075162	2.6694887052075162	0.99887542860485	2.6694887052075162	0	true	0
32	7	7	1	0	0	0	0	0	2.759508151395022	2.759508151395022	2.759508151395022	2.759508151395022	2.759508151395022	0.9987036576717526	2.759508151395022	0	true	0
33	7	7	1	0	0	0	0	0	2.8370166657819054	2.8370166657819054	2.8370166657819054	2.8370166657819054	2.8370166657819054	0.9986204224270916	2.8370166657819054	0	true	0
34	8	8	1	0	0	0	0	0	2.897998268119428	2.897998268119428	2.897998268119428	2.897998268119428	2.897998268119428	0.9984128643598162	2.897998268119428	0	true	0
35	9	9	1	0	0	0	0	0	2.9437044428834978	2.9437044428834978	2.9437044428834978	2.9437044428834978	2.9437044428834978	0.998144332911735	2.9437044428834978	0	true	0
36	10	10	1	0	0	0	0	0	2.9800176711884028	2.9800176711884028	2.9800176711884028	2.9800176711884028	2.9800176711884028	0.9981368757356651	2.9800176711884028	0	true	0
37	11	11	1	0	0	0	0	0	2.999961615906952	2.999961615906952	2.999961615906952	2.999961615906952	2.999961615906952	0.9979193747669632	2.999961615906952	0	true	0
38	11	11	1	0	0	0	0	0	2.999703143675218	2.999703143675218	2.999703143675218	2.999703143675218	2.999703143675218	0.9975972905593614	2.999703143675218	0	true	1
39	12	12	1	0	0	0	0	0	2.999860701602725	2.999860701602725	2.999860701602725	2.999860701602725	2.999860701602725	0.9975264473866985	2.999860701602725	0	true	1
40	12	11	1	0	0	0	0	0	2.999536569373264	2.999536569373264	2.999536569373264	2.999536569373264	2.999536569373264	0.9975284213450698	2.999536569373264	0	true	0
41	13	12	1	0	0	0	0	0	2.999632484430658	2.999632484430658	2.999632484430658	2.999632484430658	2.999632484430658	0.9974948640527561	2.999632484430658	0	true	3
42	14	13	1	0	0	0	0	0	2.999496014163236	2.999496014163236	2.999496014163236	2.999496014163236	2.999496014163236	0.9973245918658294	2.999496014163236	0	true	0
43	14	13	1	0	0	0	0	0	2.999448669671481	2.999448669671481	2.999448669671481	2.999448669671481	2.999448669671481	0.9972413566211682	2.999448669671481	0	true	0
44	15	14	1	0	0	0	0	0	2.999182284944309	2.999182284944309	2.999182284944309	2.999182284944309	2.999182284944309	0.9971568419590441	2.999182284944309	0	true	0
45	18	17	1	0	0	0	0	0	2.9998632969362022	2.9998632969362022	2.9998632969362022	2.9998632969362022	2.9998632969362022	0.996503461738107	2.9998632969362022	0	true	0
46	18	18	1	0	0	0	0	0	2.999831857527493	2.999831857527493	2.999831857527493	2.999831857527493	2.999831857527493	0.9965014877797355	2.999831857527493	0	true	0
47	18	18	1	0	0	0	0	0	2.99959507445316	2.99959507445316	2.99959507445316	2.99959507445316	2.99959507445316	0.9965014877797355	2.99959507445316	0	true	0
48	19	19	1	0	0	0	0	0	2.9995322707602683	2.9995322707602683	2.9995322707602683	2.9995322707602683	2.9995322707602683	0.9960968263135962	2.9995322707602683	0	true	0
49	20	19	1	0	0	0	0	0	2.9993709963444	2.9993709963444	2.9993709963444	2.9993709963444	2.9993709963444	0.9958443424159787	2.9993709963444	0	true	0
50	20	19	1	0	0	0	0	0	2.999519753697749	2.999519753697749	2.999519753697749	2.999519753697749	2.999519753697749	0.9957068233161038	2.999519753697749	0	true	0
51	23	22	1	0	0	0	0	0	2.9998835207876366	2.9998835207876366	2.9998835207876366	2.9998835207876366	2.9998835207876366	0.9952732470153018	2.9998835207876366	0	true	0
