# solver: Greedy
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: fa708ddf-b6d0-4732-a0b7-fba13c423d59
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	1	0	0	0	0	0	1.679384772115256	1.679384772115256	1.679384772115256	1.679384772115256	1.679384772115256	0.9991239280309399	1.679384772115256	0	true	4
25	6	6	1	0	0	0	0	0	1.923578494517672	1.923578494517672	1.923578494517672	1.923578494517672	1.923578494517672	0.9990443117099597	1.923578494517672	0	true	1
26	6	6	1	0	0	0	0	0	2.136644983027405	2.136644983027405	2.136644983027405	2.136644983027405	2.136644983027405	0.9990443117099597	2.136644983027405	0	true	1
27	6	6	1	0	0	0	0	0	2.3281824623840865	2.3281824623840865	2.3281824623840865	2.3281824623840865	2.3281824623840865	0.9990443117099597	2.3281824623840865	0	true	2
28	6	6	1	0	0	0	0	0	2.494698119166135	2.494698119166135	2.494698119166135	2.494698119166135	2.494698119166135	0.9990443117099597	2.494698119166135	0	true	1
29	6	6	1	0	0	0	0	0	2.6385779989577185	2.6385779989577185	2.6385779989577185	2.6385779989577185	2.6385779989577185	0.9990443117099597	2.6385779989577185	0	true	1
30	6	6	1	0	0	0	0	0	2.758145226909465	2.758145226909465	2.758145226909465	2.758145226909465	2.758145226909465	0.99887542860485	2.758145226909465	0	true	1
31	6	6	1	0	0	0	0	0	2.853949327465741	2.853949327465741	2.853949327465741	2.853949327465741	2.853949327465741	0.99887542860485	2.853949327465741	0	true	1
32	7	7	1	0	0	0	0	0	2.9247845213738866	2.9247845213738866	2.9247845213738866	2.9247845213738866	2.9247845213738866	0.9987036576717526	2.9247845213738866	0	true	0
33	7	7	1	0	0	0	0	0	2.970995799242006	2.970995799242006	2.970995799242006	2.970995799242006	2.970995799242006	0.9986204224270916	2.970995799242006	0	true	0
34	8	8	1	0	0	0	0	0	-47.000084150364444	-47.000084150364444	2.9999153370665606	2.9999153370665606	-47.000084150364444	0.9984128643598162	-47.000084150364444	0	true	0
35	9	9	1	0	0	0	0	0	2.9999525752173657	2.9999525752173657	2.9999525752173657	2.9999525752173657	2.9999525752173657	0.998144332911735	2.9999525752173657	0	true	0
36	10	10	1	0	0	0	0	0	2.9999331623394925	2.9999331623394925	2.9999331623394925	2.9999331623394925	2.9999331623394925	0.9981368757356651	2.9999331623394925	0	true	0
37	11	11	1	0	0	0	0	0	-147.0000947853247	-147.0000947853247	2.9994416062568385	2.9994416062568385	-147.0000947853247	0.9979193747669632	-147.0000947853247	0	true	0
38	11	11	1	0	0	0	0	0	-97.00024957294784	-97.00024957294784	2.9995930875655312	2.9995930875655312	-97.00024957294784	0.9975972905593614	-97.00024957294784	0	true	0
39	12	12	1	0	0	0	0	0	-97.00018234959732	-97.00018234959732	2.9995585914505134	2.9995585914505134	-97.00018234959732	0.9975264473866985	-97.00018234959732	0	true	1
40	12	12	1	0	0	0	0	0	2.9998650349656977	2.9998650349656977	2.9998650349656977	2.9998650349656977	2.9998650349656977	0.9975264473866985	2.9998650349656977	0	true	0
41	13	13	1	0	0	0	0	0	-97.00030917996438	-97.00030917996438	2.9993889637002233	2.9993889637002233	-97.00030917996438	0.9974928900943846	-97.00030917996438	0	true	0
42	14	14	1	0	0	0	0	0	2.9999807737751736	2.9999807737751736	2.9999807737751736	2.9999807737751736	2.9999807737751736	0.9974792186049233	2.9999807737751736	0	true	0
