# solver: Closest
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: fb94f0fd-ee67-41e3-9785-75059b95704b
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	1	0	0	0	0	0	-98.39792112903281	-98.39792112903281	1.6019536121443407	1.6019536121443407	-98.39792112903281	0.9991239280309399	-98.39792112903281	0	true	5
25	6	6	1	0	0	0	0	0	1.9184208110890966	1.9184208110890966	1.9184208110890966	1.9184208110890966	1.9184208110890966	0.9990443117099597	1.9184208110890966	0	true	3
26	6	6	1	0	0	0	0	0	2.136765193851396	2.136765193851396	2.136765193851396	2.136765193851396	2.136765193851396	0.9990443117099597	2.136765193851396	0	true	3
27	6	6	1	0	0	0	0	0	2.327479763476267	2.327479763476267	2.327480354368145	2.327480354368145	2.327479763476267	0.9990443117099597	2.327479763476267	0	true	3
28	6	6	1	0	0	0	0	0	2.4946982788626415	2.4946982788626415	2.4946982788626415	2.4946982788626415	2.4946982788626415	0.9990443117099597	2.4946982788626415	0	true	5
29	6	6	1	0	0	0	0	0	2.638881500965015	2.638881500965015	2.638881500965015	2.638881500965015	2.638881500965015	0.9990443117099597	2.638881500965015	0	true	2
30	6	6	1	0	0	0	0	0	2.7576039809398014	2.7576039809398014	2.7576039809398014	2.7576039809398014	2.7576039809398014	0.99887542860485	2.7576039809398014	0	true	2
31	6	6	1	0	0	0	0	0	2.8541451100214044	2.8541451100214044	2.8541451100214044	2.8541451100214044	2.8541451100214044	0.99887542860485	2.8541451100214044	0	true	2
32	7	7	1	0	0	0	0	0	2.9247435295061477	2.9247435295061477	2.9247435295061477	2.9247435295061477	2.9247435295061477	0.9987036576717526	2.9247435295061477	0	true	3
33	7	7	1	0	0	0	0	0	2.970753636015787	2.970753636015787	2.970753636015787	2.970753636015787	2.970753636015787	0.9986204224270916	2.970753636015787	0	true	3
34	8	8	1	0	0	0	0	0	1.99921587577843	1.99921587577843	2.9996273271320177	2.9996273271320177	1.99921587577843	0.9984128643598162	1.99921587577843	0	true	2
35	9	9	1	0	0	0	0	0	1.9994836167845462	1.9994836167845462	2.9997238388116942	2.9997238388116942	1.9994836167845462	0.998144332911735	1.9994836167845462	0	true	2
36	10	10	1	0	0	0	0	0	2.9995043120985314	2.9995043120985314	2.999632798867303	2.999632798867303	2.9995043120985314	0.9981368757356651	2.9995043120985314	0	true	2
37	10	10	1	0	0	0	0	0	2.9999373135772784	2.9999373135772784	2.9999373135772784	2.9999373135772784	2.9999373135772784	0.9981368757356651	2.9999373135772784	0	true	3
38	11	11	1	0	0	0	0	0	2.9990373731027242	2.9990373731027242	2.9991031872383784	2.9991031872383784	2.9990373731027242	0.9975972905593614	2.9990373731027242	0	true	3
39	12	12	1	0	0	0	0	0	2.999860005027545	2.999860005027545	2.9999853833687644	2.9999853833687644	2.999860005027545	0.9975264473866985	2.999860005027545	0	true	3
40	12	12	1	0	0	0	0	0	2.999810675763399	2.999810675763399	2.999810675763399	2.999810675763399	2.999810675763399	0.9975264473866985	2.999810675763399	0	true	2
41	13	13	1	0	0	0	0	0	2.9999684120050043	2.9999684120050043	2.9999689612935336	2.9999689612935336	2.9999684120050043	0.9974928900943846	2.9999684120050043	0	true	3
42	14	14	1	0	0	0	0	0	-47.000562210701496	-47.000562210701496	2.999822364636552	2.999822364636552	-47.000562210701496	0.9974792186049233	-47.000562210701496	0	true	2
43	15	15	1	0	0	0	0	0	-47.00084626306573	-47.00084626306573	2.999332491925977	2.999332491925977	-47.00084626306573	0.9972257111733355	-47.00084626306573	0	true	3
44	15	15	1	0	0	0	0	0	2.999363930035448	2.999363930035448	2.9994671171924834	2.9994671171924834	2.999363930035448	0.9972257111733355	2.999363930035448	0	true	2
45	19	19	1	0	0	0	0	0	2.999139493511128	2.999139493511128	2.99977029522704	2.99977029522704	2.999139493511128	0.996622922774362	2.999139493511128	0	true	3
46	19	19	1	0	0	0	0	0	2.999924511443842	2.999924511443842	2.999924511443842	2.999924511443842	2.999924511443842	0.9964878162902743	2.999924511443842	0	true	2
47	19	19	1	0	0	0	0	0	2.9999960431920485	2.9999960431920485	2.9999960431920485	2.9999960431920485	2.9999960431920485	0.9964878162902743	2.9999960431920485	0	true	3
48	19	19	1	0	0	0	0	0	2.999784800537487	2.999784800537487	2.999784800537487	2.999784800537487	2.999784800537487	0.9962863628720362	2.999784800537487	0	true	2
49	22	22	1	0	0	0	0	0	-97.00091627260288	-97.00091627260288	2.9996527141077305	2.9996527141077305	-97.00091627260288	0.9959188410671073	-97.00091627260288	0	true	3
50	23	23	1	0	0	0	0	0	-97.00070770216786	-97.00070770216786	2.982304136212308	2.982304136212308	-97.00070770216786	0.9955594344243718	-97.00070770216786	0	true	2
51	24	24	1	0	0	0	0	0	2.99921703257452	2.99921703257452	2.999946967164664	2.999946967164664	2.99921703257452	0.9952576015674691	2.99921703257452	0	true	2
52	24	24	1	0	0	0	0	0	2.9995271707839635	2.9995271707839635	2.999825735688116	2.999825735688116	2.9995271707839635	0.9952250312543409	2.9995271707839635	0	true	2
53	26	26	1	0	0	0	0	0	2.999209952524748	2.999209952524748	2.999859756885147	2.999859756885147	2.999209952524748	0.9948422295494258	2.999209952524748	0	true	2
54	28	28	1	0	0	0	0	0	2.999087976969753	2.999087976969753	2.999890161968057	2.999890161968057	2.999087976969753	0.9946259714434023	2.999087976969753	0	true	3
55	30	30	1	0	0	0	0	0	2.999510979791404	2.999510979791404	2.999510979791404	2.999510979791404	2.999510979791404	0.9942713900322413	2.999510979791404	0	true	2
56	31	31	1	0	0	0	0	0	2.9997408173009905	2.9997408173009905	2.9998759324631994	2.9998759324631994	2.9997408173009905	0.9939619903349148	2.9997408173009905	0	true	3
57	33	33	1	0	0	0	0	0	2.999657234259888	2.999657234259888	2.999882898709257	2.999882898709257	2.999657234259888	0.9936999656385022	2.999657234259888	0	true	3
58	34	34	1	0	0	0	0	0	2.9995175951837796	2.9995175951837796	2.9996476615671552	2.9996476615671552	2.9995175951837796	0.9932206958568807	2.9995175951837796	0	true	2
59	36	36	1	0	0	0	0	0	2.9995112022568877	2.9995112022568877	2.9998907552176424	2.9998907552176424	2.9995112022568877	0.9926730320731678	2.9995112022568877	0	true	3
60	40	40	1	0	0	0	0	0	2.9992560150474414	2.9992560150474414	2.9992560150474414	2.9992560150474414	2.9992560150474414	0.992383445069125	2.9992560150474414	0	true	2
61	40	40	1	0	0	0	0	0	2.9996738850015103	2.9996738850015103	2.999878034272706	2.999878034272706	2.9996738850015103	0.9919564120747764	2.9996738850015103	0	true	2
62	41	41	1	0	0	0	0	0	1.9990718734890338	1.9990718734890338	2.9994893251298334	2.9994893251298334	1.9990718734890338	0.9917122626680606	1.9990718734890338	0	true	2
63	45	45	1	0	0	0	0	0	1.9992957463052086	1.9992957463052086	2.9995263963717878	2.9995263963717878	1.9992957463052086	0.9912772972854417	1.9992957463052086	0	true	2
64	46	46	1	0	0	0	0	0	1.9995326581811759	1.9995326581811759	2.9994856086685986	2.9994856086685986	1.9995326581811759	0.9911392298637968	1.9995326581811759	0	true	3
65	47	47	1	0	0	0	0	0	1.9998408780736323	1.9998408780736323	2.9991084613025705	2.9991084613025705	1.9998408780736323	0.990857173145393	1.9998408780736323	0	true	2
66	49	49	1	0	0	0	0	0	1.9990397006230594	1.9990397006230594	2.999462373218802	2.999462373218802	1.9990397006230594	0.9903427011061476	1.9990397006230594	0	true	2
67	50	50	1	0	0	0	0	0	1.9996837323401355	1.9996837323401355	2.978728986299097	2.978728986299097	1.9996837323401355	0.9893962611766255	1.9996837323401355	0	true	2
68	53	53	1	0	0	0	0	0	-99.00031643805968	-99.00031643805968	2.999164672204807	2.999164672204807	-99.00031643805968	0.9884098668674746	-99.00031643805968	0	true	2
