# solver: Greedy
# max_time: 100
# main_solver: BinaryMaxSum
# random.seed: 1
# run: fb94f0fd-ee67-41e3-9785-75059b95704b
# experiment.start_time: 23
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1
# map.name: paris
# map.scenario: example-police.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: true
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.001
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
24	6	6	1	0	0	0	0	0	-98.39792112903281	-98.39792112903281	1.6019536121443407	1.6019536121443407	-98.39792112903281	0.9991239280309399	-98.39792112903281	0	true	2
25	6	6	1	0	0	0	0	0	1.9184208110890966	1.9184208110890966	1.9184208110890966	1.9184208110890966	1.9184208110890966	0.9990443117099597	1.9184208110890966	0	true	1
26	6	6	1	0	0	0	0	0	2.136765193851396	2.136765193851396	2.136765193851396	2.136765193851396	2.136765193851396	0.9990443117099597	2.136765193851396	0	true	1
27	6	6	1	0	0	0	0	0	2.327480354368145	2.327480354368145	2.327480354368145	2.327480354368145	2.327480354368145	0.9990443117099597	2.327480354368145	0	true	0
28	6	6	1	0	0	0	0	0	2.4946982788626415	2.4946982788626415	2.4946982788626415	2.4946982788626415	2.4946982788626415	0.9990443117099597	2.4946982788626415	0	true	1
29	6	6	1	0	0	0	0	0	-47.36111825910294	-47.36111825910294	2.638881500965015	2.638881500965015	-47.36111825910294	0.9990443117099597	-47.36111825910294	0	true	1
30	6	6	1	0	0	0	0	0	2.7576039809398014	2.7576039809398014	2.7576039809398014	2.7576039809398014	2.7576039809398014	0.99887542860485	2.7576039809398014	0	true	1
31	6	6	1	0	0	0	0	0	2.8541451100214044	2.8541451100214044	2.8541451100214044	2.8541451100214044	2.8541451100214044	0.99887542860485	2.8541451100214044	0	true	1
32	7	7	1	0	0	0	0	0	2.9247435295061477	2.9247435295061477	2.9247435295061477	2.9247435295061477	2.9247435295061477	0.9987036576717526	2.9247435295061477	0	true	0
33	7	7	1	0	0	0	0	0	2.970753636015787	2.970753636015787	2.970753636015787	2.970753636015787	2.970753636015787	0.9986204224270916	2.970753636015787	0	true	0
34	8	8	1	0	0	0	0	0	2.9996273271320177	2.9996273271320177	2.9996273271320177	2.9996273271320177	2.9996273271320177	0.9984128643598162	2.9996273271320177	0	true	0
35	9	9	1	0	0	0	0	0	2.9997238388116942	2.9997238388116942	2.9997238388116942	2.9997238388116942	2.9997238388116942	0.998144332911735	2.9997238388116942	0	true	0
36	10	10	1	0	0	0	0	0	2.999632798867303	2.999632798867303	2.999632798867303	2.999632798867303	2.999632798867303	0.9981368757356651	2.999632798867303	0	true	0
37	10	10	1	0	0	0	0	0	2.9999373135772784	2.9999373135772784	2.9999373135772784	2.9999373135772784	2.9999373135772784	0.9981368757356651	2.9999373135772784	0	true	1
38	11	11	1	0	0	0	0	0	2.9991031872383784	2.9991031872383784	2.9991031872383784	2.9991031872383784	2.9991031872383784	0.9975972905593614	2.9991031872383784	0	true	1
39	12	12	1	0	0	0	0	0	2.9999853833687644	2.9999853833687644	2.9999853833687644	2.9999853833687644	2.9999853833687644	0.9975264473866985	2.9999853833687644	0	true	0
40	12	12	1	0	0	0	0	0	2.999810675763399	2.999810675763399	2.999810675763399	2.999810675763399	2.999810675763399	0.9975264473866985	2.999810675763399	0	true	0
41	13	13	1	0	0	0	0	0	2.9999689612935336	2.9999689612935336	2.9999689612935336	2.9999689612935336	2.9999689612935336	0.9974928900943846	2.9999689612935336	0	true	0
42	14	14	1	0	0	0	0	0	2.999822364636552	2.999822364636552	2.999822364636552	2.999822364636552	2.999822364636552	0.9974792186049233	2.999822364636552	0	true	0
43	15	15	1	0	0	0	0	0	-147.0003986819375	-147.0003986819375	2.999332491925977	2.999332491925977	-147.0003986819375	0.9972257111733355	-147.0003986819375	0	true	0
44	15	15	1	0	0	0	0	0	-147.00032535392646	-147.00032535392646	2.9994671171924834	2.9994671171924834	-147.00032535392646	0.9972257111733355	-147.00032535392646	0	true	0
45	19	19	1	0	0	0	0	0	-47.00022934310044	-47.00022934310044	2.99977029522704	2.99977029522704	-47.00022934310044	0.996622922774362	-47.00022934310044	0	true	0
46	19	19	1	0	0	0	0	0	2.999924511443842	2.999924511443842	2.999924511443842	2.999924511443842	2.999924511443842	0.9964878162902743	2.999924511443842	0	true	0
47	19	19	1	0	0	0	0	0	2.9999960431920485	2.9999960431920485	2.9999960431920485	2.9999960431920485	2.9999960431920485	0.9964878162902743	2.9999960431920485	0	true	0
48	19	19	1	0	0	0	0	0	-97.00007161558874	-97.00007161558874	2.999784800537487	2.999784800537487	-97.00007161558874	0.9962863628720362	-97.00007161558874	0	true	0
49	22	22	1	0	0	0	0	0	-97.00021829512296	-97.00021829512296	2.9996527141077305	2.9996527141077305	-97.00021829512296	0.9959188410671073	-97.00021829512296	0	true	1
50	23	23	1	0	0	0	0	0	-97.00047731102332	-97.00047731102332	2.982304136212308	2.982304136212308	-97.00047731102332	0.9955594344243718	-97.00047731102332	0	true	1
51	24	24	1	0	0	0	0	0	2.999946967164664	2.999946967164664	2.999946967164664	2.999946967164664	2.999946967164664	0.9952576015674691	2.999946967164664	0	true	0
52	24	24	1	0	0	0	0	0	-147.00009371603943	-147.00009371603943	2.999825735688116	2.999825735688116	-147.00009371603943	0.9952250312543409	-147.00009371603943	0	true	0
53	26	26	1	0	0	0	0	0	-97.00000131205712	-97.00000131205712	2.999859756885147	2.999859756885147	-97.00000131205712	0.9948422295494258	-97.00000131205712	0	true	1
54	28	28	1	0	0	0	0	0	2.999890161968057	2.999890161968057	2.999890161968057	2.999890161968057	2.999890161968057	0.9946259714434023	2.999890161968057	0	true	1
55	30	30	1	0	0	0	0	0	-97.00010504629742	-97.00010504629742	2.999510979791404	2.999510979791404	-97.00010504629742	0.9942713900322413	-97.00010504629742	0	true	0
56	31	31	1	0	0	0	0	0	-147.00012073454957	-147.00012073454957	2.9998759324631994	2.9998759324631994	-147.00012073454957	0.9939619903349148	-147.00012073454957	0	true	1
57	33	33	1	0	0	0	0	0	2.999882898709257	2.999882898709257	2.999882898709257	2.999882898709257	2.999882898709257	0.9936999656385022	2.999882898709257	0	true	0
58	34	34	1	0	0	0	0	0	2.9996476615671552	2.9996476615671552	2.9996476615671552	2.9996476615671552	2.9996476615671552	0.9932206958568807	2.9996476615671552	0	true	0
59	36	36	1	0	0	0	0	0	-97.00006302438652	-97.00006302438652	2.9998907552176424	2.9998907552176424	-97.00006302438652	0.9926730320731678	-97.00006302438652	0	true	0
60	40	40	1	0	0	0	0	0	-97.0007131938392	-97.0007131938392	2.9992560150474414	2.9992560150474414	-97.0007131938392	0.992383445069125	-97.0007131938392	0	true	0
61	40	40	1	0	0	0	0	0	-147.00009636366343	-147.00009636366343	2.999878034272706	2.999878034272706	-147.00009636366343	0.9919564120747764	-147.00009636366343	0	true	0
